"","rile_mrg","partyname"
"168",-0.435,"STAROSTOVÉ (STAN) s regionálními partnery a TOP 09"
"169",10.656,"Svoboda a přímá demokracie"
"170",6.897,"Elurikkuse Erakond"
"171",-27.941,"Erakond Eestimaa Rohelised"
"172",-2.797,"Erakond Eesti 200"
"173",-6.897,"Sotsiaaldemokraatlik Erakond "
"174",-6.612,"Eesti Keskerakond"
"175",13.445,"Eesti Reformierakond"
"176",10.021,"Isamaa Erakond"
"177",6.522,"Eesti Konservatiivne Rahvaerakond"
"178",-15.931,"Lehet Más a Politika "
"179",-11.172,"Magyar Szocialista Párt "
"180",-20.639,"Demokratikus Koalíció "
"181",17.152,"Fidesz Magyar Polgári Szövetség - Kereszténydemokrata Néppárt"
"182",-2.466,"Jobbik Magyarországért Mozgalom "
"183",14.516,"Momentum Mozgalom"
"184",0,"Coalition Zaļo un Zemnieku Savienība"
"185",-15.254,"Saskaņa Sociāldemokrātiskā partija"
"186",-17.582,"Coalition AP! "
"187",10.909,"Jaunā Vienotība"
"188",27.419,"Coalition Nacionālā apvienība"
"189",-3.39,"Latvijas Krievu savienībā"
"190",20,"Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys“"
"191",-8.368,"Lietuvos Socialdemokratų Partija "
"192",-7.324,"Darbo Partija "
"193",4.695,"Lietuvos Respublikos liberalų sąjūdis"
"194",20.833,"Partija Tvarka ir Teisingumas "
"195",-7.035,"Lietuvos Valstiečių ir Žaliųjų Sąjunga "
"196",11.538,"Tévynès Sajunga - Lietuvos Krikščionys Demokratai"
"197",9.375,"Lietuvos lenkų rinkimų akcija - krikščioniškų šeimų sąjunga"
"198",-17.784,"Coalition Lewica Razem"
"199",-18.692,"Wiosna Roberta Biedronia"
"200",28.571,"Prawo i Sprawiedliwość"
"201",50,"Konfederacja KORWiN Braun Liroy Narodowcy"
"202",-4.225,"Coalition Koalicja Europejska"
"203",1.515,"Partidul Pro Romania"
"204",-12.971,"Coalition 2020 USR + PLUS Alliance"
"205",-7.78,"Partidul Naţional Liberal"
"206",5.645,"Partidul Mișcarea Populară "
"207",47.297,"Partidul Social Democrat"
"208",0,"Uniunea Democrată Maghiară din România"
"209",12.442,"Coalition (Progresívne Slovensko + SPOLU - občianska demokracia)"
"210",1.149,"Most-Híd"
"211",19.643,"Smer-sociálna demokracia"
"212",12,"Kresťanskodemokratické hnutie"
"213",11.565,"SME RODINA - Boris Kollár"
"214",16.071,"Sloboda a Solidarita"
"215",11.312,"Coalition (Obyčajní Ľudia a nezávislé osobnosti + Nová väčšina - Dohoda)"
"216",11.588,"Strana mad'arskej komunity - Magyar Közösség Pártja"
"217",-7.237,"Coalition (Slovenska demokratska stranka + Slovenska ljudska stranka)"
"218",-20.195,"Socialni Demokrati "
"219",-11.801,"Lista Marjana Šarca"
"220",0.325,"Nova Slovenija"
"221",5.714,"Demokratična stranka upokojencev Slovenije"
"222",-27.5,"Party of European Socialists"
"223",-10.278,"Group of the Alliance of Liberals and Democrats for Europe"
"224",-5.714,"European People's Party"
"225",-34,"Socialistisk Folkeparti"
"226",-28.07,"Socialdemokraterne"
"227",-29.323,"Det Radikale Venstre"
"228",-11.538,"Venstre - Danmarks Liberale Parti"
"229",3.125,"Det Konservative Folkeparti"
"230",13.953,"Siumut"
"231",25,"Fremskridtspartiet"
"232",18.182,"Folkebevægelsen Mod EU"
"233",-29.052,"Socialistische Partij Anders"
"234",6.597,"Parti Socialiste"
"235",-1.887,"Open Vlaamse Liberalen en Democraten"
"236",29.022,"Christen-Demokratisch & Vlaams"
"237",-16.981,"Nieuw-Vlaamse-Alliantie"
"238",-26.292,"FDF/RW"
"239",-22.5,"Politieke Partij Radikalen"
"240",-46.154,"Communistische Partij van Nederland"
"241",-51.675,"Partij van de Arbeid"
"242",-21.782,"Democraten 66"
"243",-1.316,"Staatkundig Gereformeerde Partij"
"244",6.716,"Gereformeerd Politiek Verbond"
"245",-12.5,"Letzebuergesch Sozialistesch Arbechterpartei"
"246",29.412,"Demokratesch Partei"
"247",2.381,"Chreschtlich Sozial Vollekspartei"
"248",-7.035,"Parti Communiste Français"
"249",-23.022,"Parti Socialiste"
"250",9.028,"Rassemblement pour la République"
"251",-22.703,"Partito Comunista Italiano"
"252",-19.886,"Bündnis 90 - Die Grünen"
"253",-19.939,"Sozialdemokratische Partei Deutschlands"
"254",-8.122,"Freie Demokratische Partei"
"255",-5.725,"Christlich Demokratische Union"
"256",32.895,"Christlich Soziale Union"
"257",-21.586,"Labour Party"
"258",-6.431,"Social Democratic and Labour Party"
"259",8.025,"Conservative Party"
"260",-15.177,"Irish Labour Party - Páirtí an Lucht Oibre"
"261",10.331,"Gaelic Nation - Fine Gael"
"262",-16.667,"Soldiers of Destiny - Fianna Fáil"
"263",-18.262,"Party of European Socialists"
"264",-5.916,"Group of the Alliance of Liberals and Democrats for Europe"
"265",0.676,"European People's Party"
"266",-30.769,"Socialistisk Folkeparti"
"267",-24.868,"Socialdemokraterne"
"268",19.531,"Centrumdemokraterne"
"269",-16.814,"Venstre - Danmarks Liberale Parti"
"270",-31.25,"Fremskridtspartiet"
"271",9.524,"Folkebevægelsen Mod EU"
"272",-15.884,"Écologistes Confédérés"
"273",-22.309,"Groen"
"274",-26.454,"Socialistische Partij Anders"
"275",-18.422,"Parti Socialiste"
"276",-3.198,"Open Vlaamse Liberalen en Democraten"
"277",32.874,"Christen-Demokratisch & Vlaams"
"278",-17.666,"Front Démocratique de Francophones"
"279",-15.075,"Nieuw-Vlaamse-Alliantie"
"280",2,"ChristenUnie - Staatskundig Gereformeerde Partij"
"281",-20.641,"Partij van de Arbeid"
"282",-9.517,"Democraten 66"
"283",5.782,"Reformatorische Politieke Federatie"
"284",2.308,"Staatkundig Gereformeerde Partij"
"285",4.528,"Gereformeerd Politiek Verbond"
"286",-39.316,"Déi Gréng"
"287",6.25,"Demokratesch Partei"
"288",6.977,"Chreschtlich Sozial Vollekspartei"
"289",-4.819,"Parti Communiste Français"
"290",10.354,"Rassemblement pour la République"
"291",46.97,"Partito Populare Italiano"
"292",22.727,"Kommounistiko Komma Ellados"
"293",17.614,"Panellinio Socialistico Kinima"
"294",-17.29,"Bündnis 90 - Die Grünen"
"295",-23.029,"Sozialdemokratische Partei Deutschlands"
"296",1.158,"Freie Demokratische Partei"
"297",-7.562,"Christlich Demokratische Union"
"298",19.703,"Christlich Soziale Union"
"299",-25.328,"Labour Party"
"300",7.96,"Social Democratic and Labour Party"
"301",-8.98,"Liberal Party - Social Democratic Party"
"302",12.104,"Conservative Party"
"303",-15.544,"Plaid Cymru"
"304",41.611,"Democratic Unionist Party"
"305",36.709,"Ulster Unionist Party"
"306",-18.262,"Irish Labour Party - Páirtí an Lucht Oibre"
"307",-12.963,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"308",-4.418,"Centro Democrático y Social - Coalición Foro"
"309",21.25,"Partido Popular"
"310",-6.197,"Convérgencia i Uniò"
"311",13.793,"Partido Comunista Português"
"312",5.97,"Partido Social Democrata"
"313",-9.804,"Partido Popular"
"314",-12.583,"Group of the Greens - European Free Alliance"
"315",-31.835,"Party of European Socialists"
"316",-11.707,"Group of the Alliance of Liberals and Democrats for Europe"
"317",8.889,"European People's Party"
"318",-23.636,"Socialistisk Folkeparti"
"319",-31.795,"Socialdemokraterne"
"320",-14.286,"Centrumdemokraterne"
"321",-27.928,"Det Radikale Venstre"
"322",-17.647,"Venstre - Danmarks Liberale Parti"
"323",19.048,"Fremskridtspartiet"
"324",-24.06,"Folkebevægelsen Mod EU"
"325",-20.015,"Écologistes Confédérés"
"326",-16.643,"Groen"
"327",-27.967,"Socialistische Partij Anders"
"328",3.973,"Open Vlaamse Liberalen en Democraten"
"329",-8.267,"Christen-Demokratisch & Vlaams"
"330",8.75,"Centre Democrate Humaniste"
"331",-14.222,"Front Démocratique de Francophones"
"332",-18.947,"Nieuw-Vlaamse-Alliantie"
"333",-6.693,"Vlaams Belang"
"334",-10.294,"Regenboog"
"335",6.438,"Socialistische Partij"
"336",9.417,"ChristenUnie - Staatskundig Gereformeerde Partij"
"337",-24.49,"Partij van de Arbeid"
"338",-9.907,"Democraten 66"
"339",-6.188,"Reformatorische Politieke Federatie"
"340",-2.786,"Staatkundig Gereformeerde Partij"
"341",-8.824,"Gereformeerd Politiek Verbond"
"342",-7.692,"Déi Gréng"
"343",-4.545,"Letzebuergesch Sozialistesch Arbechterpartei"
"344",9.091,"Demokratesch Partei"
"345",8.163,"Chreschtlich Sozial Vollekspartei"
"346",-39.199,"Parti Communiste Français"
"347",-31.707,"Parti Socialiste"
"348",23.75,"Rassemblement pour la République - Union pour la Démocratie Française"
"349",26.471,"Chasse, Pêche, Nature, Traditions"
"350",8.791,"Socialisti Democratici Italiani"
"351",47.967,"Partito Populare Italiano"
"352",-28.205,"Izquierda Unida"
"353",-39.793,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"354",-7.395,"Centro Democrático y Social - Coalición Foro"
"355",-6.031,"Partido Popular"
"356",-12.698,"Convérgencia i Uniò"
"357",-4.263,"Partido Nacionalista Vasco - Euzko Alderdi Jeltzalea"
"358",-26.667,"Esquerra Republicana de Catalunya"
"359",-23.529,"Europa de los Pueblos"
"360",24.561,"Kommounistiko Komma Ellados"
"361",-28.836,"Partido Comunista Português"
"362",-14.737,"Partido Socialista Portuguêsa"
"363",4.866,"Partido Social Democrata"
"364",-33.101,"Bündnis 90 - Die Grünen"
"365",-31.835,"Sozialdemokratische Partei Deutschlands"
"366",-5.5,"Freie Demokratische Partei"
"367",8.889,"Christlich Demokratische Union"
"368",17.316,"Christlich Soziale Union"
"369",20.183,"Die Republikaner"
"370",-11.801,"Green Party"
"371",-22.549,"Labour Party"
"372",-11.29,"Social Democratic and Labour Party"
"373",-9.449,"Liberal Democrats"
"374",23.187,"Conservative Party"
"375",-14.179,"Scottish National Party"
"376",38.947,"Democratic Unionist Party"
"377",5.217,"Ulster Unionist Party"
"378",-14.607,"Socialist Party - Páirtí Sóisialach"
"379",-31.835,"Irish Labour Party - Páirtí an Lucht Oibre"
"380",11.864,"Gaelic Nation - Fine Gael"
"381",-16.49,"Group of the Greens - European Free Alliance"
"382",-13.802,"Party of European Socialists"
"383",5.085,"Group of the Alliance of Liberals and Democrats for Europe"
"384",12.613,"European People's Party"
"385",-34.416,"Socialistisk Folkeparti"
"386",-34.197,"Socialdemokraterne"
"387",0,"Centrumdemokraterne"
"388",-33.784,"Det Radikale Venstre"
"389",-6.497,"Venstre - Danmarks Liberale Parti"
"390",-17.266,"Det Konservative Folkeparti"
"391",5,"Fremskridtspartiet"
"392",-7.237,"Folkebevægelsen Mod EU"
"393",-26.63,"JuniBevægelsen"
"394",-22.549,"Écologistes Confédérés"
"395",-13.63,"Groen"
"396",-15.86,"Socialistische Partij Anders"
"397",-12.865,"Open Vlaamse Liberalen en Democraten"
"398",22.018,"Fédéralistes Démocrates Francophones - Parti Réformateur Libéral"
"399",7.973,"Christen-Demokratisch & Vlaams"
"400",-8.741,"Centre Democrate Humaniste"
"401",-22.931,"Nieuw-Vlaamse-Alliantie"
"402",5.625,"Vlaams Belang"
"403",-24.095,"GroenLinks"
"404",-35.849,"Socialistische Partij"
"405",18.449,"ChristenUnie - Staatskundig Gereformeerde Partij"
"406",-18.263,"Partij van de Arbeid"
"407",-18.893,"Democraten 66"
"408",-1.659,"Volkspartij voor Vrijheid en Democratie"
"409",12.613,"Christen Democratisch Appèl"
"410",-22.816,"Déi Gréng"
"411",23.944,"Letzebuergesch Sozialistesch Arbechterpartei"
"412",9.302,"Demokratesch Partei"
"413",21.023,"Chreschtlich Sozial Vollekspartei"
"414",-20.899,"Parti Communiste Français"
"415",-16.071,"Parti Socialiste"
"416",-16.016,"Parti Radical de Gauche"
"417",15.854,"Mouvement Républicain et Citoyen"
"418",1.674,"Rassemblement pour la République - Union pour la Démocratie Française"
"419",14.444,"Front National"
"420",3.546,"Rassemblement pour la France et l'Indépendance de l'Europe"
"421",16.923,"Chasse, Pêche, Nature, Traditions"
"422",-20,"Federazione de Verdi"
"423",-36.842,"Partito della Rifondazione Comunista"
"424",-0.573,"Partito Democratico della Sinistra"
"425",-3.846,"Patto Segni"
"426",70.339,"Partito Populare Italiano"
"427",-6.098,"Forza Italia"
"428",-4.459,"Alleanza Nazionale"
"429",10.667,"Lega Nord"
"430",-26.22,"Izquierda Unida"
"431",-10.887,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"432",9.615,"Partido Popular"
"433",-2.537,"Convérgencia i Uniò"
"434",-11.797,"Partido Nacionalista Vasco - Euzko Alderdi Jeltzalea"
"435",-16.105,"Eusko Alkartasuna"
"436",-18.934,"Esquerra Republicana de Catalunya"
"437",-19.495,"Batasuna"
"438",-23.148,"Bloque Nacionalista Galego"
"439",2.146,"Agrupación Ruiz-Mateos"
"440",-9.211,"Por la Europa de los Pueblos"
"441",-2.465,"Kommounistiko Komma Ellados"
"442",0.199,"Panellinio Socialistico Kinima"
"443",-11.224,"Partido Ecologista - Os Verdes"
"444",-31.313,"Partido Comunista Português"
"445",-14.796,"Partido Socialista Portuguêsa"
"446",-9.091,"Partido Social Democrata"
"447",-14.796,"Partido Popular"
"448",-18.493,"Bündnis 90 - Die Grünen"
"449",-25.103,"Die Linke"
"450",-13.802,"Sozialdemokratische Partei Deutschlands"
"451",10.992,"Freie Demokratische Partei"
"452",-2.625,"Christlich Demokratische Union"
"453",9.013,"Christlich Soziale Union"
"454",52.653,"Die Republikaner"
"455",-15.014,"Green Party"
"456",-28.392,"Labour Party"
"457",-12.727,"Social Democratic and Labour Party"
"458",-5.293,"Liberal Democrats"
"459",11.159,"Conservative Party"
"460",-17.312,"Plaid Cymru"
"461",-5.802,"Scottish National Party"
"462",5.577,"Democratic Unionist Party"
"463",0.926,"Ulster Unionist Party"
"464",-3.636,"United Kingdom Independence Party"
"465",-27.2,"Socialist Party - Páirtí Sóisialach"
"466",-14.124,"Irish Labour Party - Páirtí an Lucht Oibre"
"467",20.495,"Progressive Democrats - An Páirtí Daonlathach"
"468",6.03,"Gaelic Nation - Fine Gael"
"469",-14.184,"Soldiers of Destiny - Fianna Fáil"
"470",-13.636,"Miljöpartiet de Gröna"
"471",-29.07,"Vänsterpartiet"
"472",-28.5,"Sverige Socialdemokratiska Arbetareparti"
"473",-9.859,"Folkpartiet Liberalerna"
"474",5.96,"Kristdemokraterna"
"475",18.902,"Moderata Samlingspartiet"
"476",-25.686,"Centerpartiet"
"477",-39.098,"Vihreä Liitto"
"478",-38.012,"Vasemmistoliitto"
"479",-38.333,"Suomen Sosialidemokraattinen Puolue"
"480",-7.801,"Kansallinen Kokoomus"
"481",-20.472,"Suomen Keskusta"
"482",-15.493,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"483",-20.556,"Die Grünen"
"484",-27.7,"Sozialdemokratische Partei Österreichs"
"485",6.977,"Freiheitliche Partei Österreichs"
"486",-4.032,"Liberales Forum"
"487",4.032,"Österreichische Volkspartei"
"488",-15.985,"Group of the Greens - European Free Alliance"
"489",2.734,"Party of European Socialists"
"490",3.846,"Group of the Alliance of Liberals and Democrats for Europe"
"491",24.545,"European People's Party"
"492",-6.14,"Miljöpartiet de Gröna"
"493",-22.68,"Vänsterpartiet"
"494",-40.777,"Sverige Socialdemokratiska Arbetareparti"
"495",-3.239,"Folkpartiet Liberalerna"
"496",-10.465,"Kristdemokraterna"
"497",22.936,"Moderata Samlingspartiet"
"498",-15.652,"Centerpartiet"
"499",-20.968,"Socialistisk Folkeparti"
"500",-18.557,"Socialdemokraterne"
"501",-15.707,"Centrumdemokraterne"
"502",-29.032,"Det Radikale Venstre"
"503",-1.389,"Venstre - Danmarks Liberale Parti"
"504",34.483,"Det Konservative Folkeparti"
"505",24.242,"Dansk Folkeparti"
"506",-11.111,"Fremskridtspartiet"
"507",-7.692,"Folkebevægelsen Mod EU"
"508",-5.118,"JuniBevægelsen"
"509",-25.806,"Vihreä Liitto"
"510",-45.596,"Vasemmistoliitto"
"511",-33.962,"Suomen Sosialidemokraattinen Puolue"
"512",2.703,"Suomen Kristillisdemokraatit"
"513",-0.303,"Kansallinen Kokoomus"
"514",-16.364,"Suomen Keskusta"
"515",-17.699,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"516",-10.93,"Écologistes Confédérés"
"517",-17.514,"Groen"
"518",-15.411,"Socialistische Partij Anders"
"519",0,"Parti Socialiste"
"520",13.126,"Open Vlaamse Liberalen en Democraten"
"521",-23.133,"Parti Réformateur Libéral - Fédéralistes Démocrates Francophones - Mouvement des Citoyens pour le Changement"
"522",-7.353,"Christen-Demokratisch & Vlaams"
"523",-14.615,"Centre Democrate Humaniste"
"524",-8.333,"Front National"
"525",4.167,"Vlaams Belang"
"526",0.275,"SPIRIT"
"527",-4.688,"GroenLinks"
"528",-18.31,"Socialistische Partij"
"529",10.301,"ChristenUnie - Staatskundig Gereformeerde Partij"
"530",-9.735,"Partij van de Arbeid"
"531",-14.8,"Democraten 66"
"532",8.475,"Volkspartij voor Vrijheid en Democratie"
"533",24.545,"Christen Democratisch Appèl"
"534",-19.524,"Déi Gréng"
"535",-4.878,"Letzebuergesch Sozialistesch Arbechterpartei"
"536",-15.909,"Demokratesch Partei"
"537",17.117,"Chreschtlich Sozial Vollekspartei"
"538",-27.713,"Les Verts"
"539",-24.359,"Parti Communiste Français"
"540",-10.959,"Lutte Ouvrière"
"541",-32.458,"Ligue Communiste Révolutionnaire"
"542",-23.78,"Parti Socialiste"
"543",-5.556,"Parti Radical de Gauche"
"544",8.683,"Nouvelle Union pour la Démocratie Française"
"545",-5.263,"Union pour un Mouvement Populaire"
"546",9.859,"Front National"
"547",7.097,"Rassemblement pour la France et l'Indépendance de l'Europe"
"548",18.182,"Chasse, Pêche, Nature, Traditions"
"549",-49.671,"Partito della Rifondazione Comunista"
"550",-23.881,"Partito dei Comunisti Italiani"
"551",0,"Partito Democratico della Sinistra"
"552",18.519,"Partito Radicale - Lista Bonino-Pannella"
"553",7.196,"I Democratici"
"554",42.718,"Federazione dei Liberali - Partito Repubblicano Italiano"
"555",16.949,"Ulivo"
"556",13.636,"Partito Populare Italiano"
"557",68.182,"Centro Cristiano Democratico"
"558",30.588,"Forza Italia"
"559",4.615,"Alleanza Nazionale"
"560",1.656,"Lega Nord"
"561",-0.794,"Südtiroler Volkspartei"
"562",-28.931,"Izquierda Unida"
"563",-0.565,"Partido Socialista Obrero Español - Partit dels Socialistes de Catalunya"
"564",6.323,"Partido Popular"
"565",-5.106,"Convérgencia i Uniò"
"566",-7.5,"Batasuna"
"567",-22.43,"Bloque Nacionalista Galego"
"568",6.667,"Kommounistiko Komma Ellados"
"569",17.49,"Synaspismos Rizospastikis Aristeras"
"570",19.218,"Panellinio Socialistico Kinima"
"571",32.11,"Dimokratiki Kinoniku Kinima"
"572",53.012,"Nea Dimokratia"
"573",33.333,"Politiki Anixi"
"574",-24.5,"Partido Ecologista - Os Verdes"
"575",-21.076,"Partido Comunista Português"
"576",-6.19,"Partido Socialista Portuguêsa"
"577",6.881,"Partido Social Democrata"
"578",-0.826,"Partido Popular"
"579",-16.009,"Bündnis 90 - Die Grünen"
"580",-22.866,"Die Linke"
"581",2.734,"Sozialdemokratische Partei Deutschlands"
"582",8.547,"Freie Demokratische Partei"
"583",20.497,"Christlich Demokratische Union"
"584",25.874,"Christlich Soziale Union"
"585",11.621,"Die Republikaner"
"586",-28.536,"Die Grünen"
"587",-13.968,"Sozialdemokratische Partei Österreichs"
"588",18.881,"Freiheitliche Partei Österreichs"
"589",10.74,"Liberales Forum"
"590",6.112,"Österreichische Volkspartei"
"591",-15.251,"Green Party"
"592",2.734,"Labour Party"
"593",-3.211,"Social Democratic and Labour Party"
"594",-11.273,"Liberal Democrats"
"595",7.031,"Conservative Party"
"596",-15.385,"Plaid Cymru"
"597",-0.664,"Scottish National Party"
"598",28.302,"Democratic Unionist Party"
"599",-6.015,"Ulster Unionist Party"
