Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,"Final 
vote?",Am No.,Author,RCV,Vote,Yeas,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
221,13.0,1.0,"""16.12.2014""","""Renewal of the Agreement on cooperation in science and technology with Ukraine""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Buzek""","""A8-0039/2014""","""2014/0154/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0039&language=EN""","""Committee on Industry, Research and Energy""","""Industry, research & energy""","""approbation""",1.0,,0,"""RCV""","""+""",579,112,12,61.0,16.0,203.0,50.0,4.0,64.0,178.0,3.0,0.871,0.333,0.919,1.0,0.077,0.955,0.932,0.058,1,0,0,0
222,13.0,1.0,"""16.12.2014""","""Participation of Croatia in the European Economic Area""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Lambsdorff""","""A8-0026/2014""","""2014/0047/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0026&language=EN""","""Committee on International Trade""","""International trade""","""approbation""",1.0,,0,"""RCV""","""+""",622,31,51,62.0,23.0,203.0,50.0,7.0,65.0,178.0,34.0,0.886,0.479,0.919,1.0,0.135,0.97,0.932,0.654,1,0,0,0
228,14.0,1.0,"""17.12.2014""","""Autonomous trade preferences for the Republic of Moldova""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Moisă""","""A8-0053/2014""","""2014/0250/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0053&language=EN""","""Committee on International Trade""","""International trade""","""single vote""",1.0,,0,"""RCV""","""+""",551,67,23,47.0,4.0,191.0,49.0,3.0,63.0,168.0,26.0,0.671,0.083,0.864,0.98,0.058,0.94,0.88,0.5,1,0,0,0
229,14.0,1.0,"""17.12.2014""","""Tariff treatment for goods originating from Ecuador""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Scholz""","""A8-0056/2014""","""2014/0287/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0056&language=EN""","""Committee on International Trade""","""International trade""","""single vote""",1.0,,0,"""RCV""","""+""",523,39,102,57.0,3.0,194.0,1.0,5.0,64.0,174.0,25.0,0.814,0.062,0.878,0.02,0.096,0.955,0.911,0.481,1,0,0,0
282,15.0,1.0,"""18.12.2014""","""Association Agreement with Georgia""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Mamikins""","""A8-0041/2014""","""2014/0086/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0041&language=EN""","""Committee on Foreign Affairs""","""Foreign & security policy""","""approbation""",1.0,,0,"""RCV""","""+""",490,76,57,55.0,3.0,174.0,45.0,4.0,54.0,154.0,1.0,0.786,0.062,0.787,0.9,0.077,0.806,0.806,0.019,1,0,0,0
283,16.0,1.0,"""13.01.2015""","""Fisheries Partnership Agreement between the EU and São Tomé and Príncipe: fishing opportunities and financial contribution""","""***""","""Leg""","""Draft legislative resolution""","""s""","""João Ferreira""","""A8-0061/2014""","""2014/0115/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0061&language=EN""","""Committee on Fisheries""","""Fisheries""","""approbation""",1.0,,0,"""RCV""","""+""",566,43,68,6.0,44.0,192.0,43.0,12.0,65.0,166.0,38.0,0.086,0.917,0.869,0.86,0.231,0.97,0.869,0.731,1,0,0,0
284,16.0,1.0,"""13.01.2015""","""EU-Seychelles Agreement on access for fishing vessels to waters of Mayotte""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Cadec""","""A8-0055/2014""","""2014/0079/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0055&language=EN""","""Committee on Fisheries""","""Fisheries""","""approbation""",1.0,,0,"""RCV""","""+""",628,41,18,62.0,42.0,197.0,44.0,13.0,65.0,169.0,36.0,0.886,0.875,0.891,0.88,0.25,0.97,0.885,0.692,1,0,0,0
285,16.0,1.0,"""13.01.2015""","""Protocol to the Euro-Mediterranean Agreement between the EC and Tunisia, to take account of the accession of Bulgaria and Romania to the EU""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Brok""","""A8-0049/2014""","""2009/0174/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0049&language=EN""","""Committee on Foreign Affairs""","""Foreign & security policy""","""approbation""",1.0,,0,"""RCV""","""+""",568,55,65,62.0,20.0,197.0,49.0,7.0,66.0,167.0,0.0,0.886,0.417,0.891,0.98,0.135,0.985,0.874,0.0,1,0,0,0
287,16.0,1.0,"""13.01.2015""","""Provisions for fishing in the GFCM (General Fisheries Commission for the Mediterranean) Agreement area""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Mato""","""A8-0057/2014""","""2014/0213/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0057&language=EN""","""Committee on Fisheries""","""Fisheries""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",583,91,15,62.0,24.0,194.0,49.0,11.0,62.0,168.0,13.0,0.886,0.5,0.878,0.98,0.212,0.925,0.88,0.25,1,0,0,0
329,18.0,1.0,"""11.02.2015""","""Safeguard measures provided for in the Agreement with Iceland""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0031/2014""","""2014/0160/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0031&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",630,27,34,66.0,24.0,206.0,44.0,11.0,60.0,175.0,44.0,0.943,0.5,0.932,0.88,0.212,0.896,0.916,0.846,1,0,0,0
330,18.0,1.0,"""11.02.2015""","""Measures concerning anti-dumping and anti-subsidy matters""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0033/2014""","""2014/0163/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0033&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",635,52,13,67.0,24.0,208.0,45.0,10.0,60.0,177.0,44.0,0.957,0.5,0.941,0.9,0.192,0.896,0.927,0.846,1,0,0,0
331,18.0,1.0,"""11.02.2015""","""Combined effect of anti-dumping and anti-subsidy measures with safeguard measures""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0032/2014""","""2014/0164/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0032&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",636,51,13,67.0,23.0,211.0,46.0,11.0,59.0,175.0,44.0,0.957,0.479,0.955,0.92,0.212,0.881,0.916,0.846,1,0,0,0
332,18.0,1.0,"""11.02.2015""","""Common rules for imports""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0040/2014""","""2014/0166/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0040&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",639,30,35,67.0,24.0,210.0,47.0,10.0,60.0,177.0,44.0,0.957,0.5,0.95,0.94,0.192,0.896,0.927,0.846,1,0,0,0
333,18.0,1.0,"""11.02.2015""","""Common rules for exports""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0035/2014""","""2014/0167/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0035&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",636,28,36,66.0,24.0,210.0,46.0,11.0,60.0,176.0,43.0,0.943,0.5,0.95,0.92,0.212,0.896,0.921,0.827,1,0,0,0
343,18.0,1.0,"""11.02.2015""","""Cross-border exchange of information on road safety related traffic offences""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Ayala Sender""","""A8-0001/2015""","""2014/0218/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0001&language=EN""","""Committee on Transport and Tourism""","""Transport & tourism""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",640,61,6,61.0,27.0,209.0,49.0,10.0,62.0,175.0,47.0,0.871,0.562,0.946,0.98,0.192,0.925,0.916,0.904,1,0,0,0
344,18.0,1.0,"""11.02.2015""","""Sustainable Fisheries Partnership Agreement between the EU and Senegal ""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Nicolai""","""A8-0010/2015""","""2014/0238/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0010&language=EN""","""Committee on Fisheries""","""Fisheries""","""approbation""",1.0,,0,"""RCV""","""+""",587,103,13,63.0,41.0,207.0,1.0,12.0,58.0,171.0,34.0,0.9,0.854,0.937,0.02,0.231,0.866,0.895,0.654,1,1,0,0
385,20.0,1.0,"""10.03.2015""","""European long-term investment funds""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Lamassoure""","""A8-0021/2015""","""2013/0214/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0021&language=EN""","""Committee on Economic and Monetary Affairs""","""Economic & monetary affairs""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",546,93,28,52.0,9.0,206.0,47.0,3.0,59.0,169.0,1.0,0.743,0.188,0.932,0.94,0.058,0.881,0.885,0.019,1,0,0,0
386,20.0,1.0,"""10.03.2015""","""Interchange fees for card-based payment transactions""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Bidegain""","""A8-0022/2015""","""2013/0265/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0022&language=EN""","""Committee on Economic and Monetary Affairs""","""Economic & monetary affairs""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",621,26,29,53.0,32.0,206.0,47.0,7.0,59.0,175.0,42.0,0.757,0.667,0.932,0.94,0.135,0.881,0.916,0.808,1,0,0,0
439,21.0,1.0,"""11.03.2015""","""Common rules for imports from certain third countries""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Wałęsa""","""A8-0014/2015""","""2014/0168/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0014&language=EN""","""Committee on International Trade""","""International trade""","""single vote""",1.0,,0,"""RCV""","""+""",643,32,30,62.0,29.0,209.0,49.0,9.0,64.0,181.0,40.0,0.886,0.604,0.946,0.98,0.173,0.955,0.948,0.769,1,0,0,0
440,21.0,1.0,"""11.03.2015""","""Stabilisation and Association Agreement with Montenegro""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0051/2014""","""2014/0190/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0051&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",623,60,18,59.0,19.0,207.0,49.0,4.0,64.0,179.0,42.0,0.843,0.396,0.937,0.98,0.077,0.955,0.937,0.808,1,0,0,0
441,21.0,1.0,"""11.03.2015""","""Union tariff quotas for high-quality beef, and for pigmeat, poultrymeat, wheat and meslin, and brans, sharps and other residues""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0052/2014""","""2014/0276/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0052&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",634,57,14,61.0,21.0,209.0,49.0,9.0,64.0,180.0,41.0,0.871,0.438,0.946,0.98,0.173,0.955,0.942,0.788,1,0,0,0
442,21.0,1.0,"""11.03.2015""","""Import into the Union of agricultural products originating in Turkey""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0048/2014""","""2014/0272/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0048&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",583,112,8,61.0,20.0,204.0,48.0,7.0,63.0,179.0,1.0,0.871,0.417,0.923,0.96,0.135,0.94,0.937,0.019,1,0,0,0
443,21.0,1.0,"""11.03.2015""","""Suspending certain concessions relating to the import into the Union of agricultural products originating in Turkey""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0050/2014""","""2014/0275/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0050&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",605,91,10,62.0,40.0,204.0,49.0,7.0,64.0,179.0,0.0,0.886,0.833,0.923,0.98,0.135,0.955,0.937,0.0,1,0,0,0
444,21.0,1.0,"""11.03.2015""","""Establishment of the General Fisheries Commission for the Mediterranean""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Mato""","""A8-0038/2015""","""2014/0274/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0038&language=EN""","""Committee on Fisheries""","""Fisheries""","""approbation""",1.0,,0,"""RCV""","""+""",642,27,37,64.0,21.0,207.0,49.0,8.0,64.0,181.0,48.0,0.914,0.438,0.937,0.98,0.154,0.955,0.948,0.923,1,0,0,0
538,23.0,13.0,"""25.03.2015""","""Macro-financial assistance to Ukraine ""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Landsbergis""","""A8-0056/2015""","""2015/0005/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0056&language=EN""","""Committee on International Trade""","""International trade""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",492,107,13,46.0,2.0,185.0,43.0,4.0,58.0,153.0,1.0,0.657,0.042,0.837,0.86,0.077,0.866,0.801,0.019,1,0,0,0
545,24.0,1.0,"""15.04.2015""","""Amendment of the MFF 2014-2020""","""***""","""Leg""","""Draft legislative resolution""","""q""","""Olbrycht/I.Thomas""","""A8-0125/2015""","""2015/0010/APP""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0125&language=EN""","""Committee on Budgets""","""Budget""","""approbation""",1.0,,0,"""RCV""","""+""",591,24,28,61.0,18.0,191.0,46.0,11.0,54.0,172.0,38.0,0.871,0.375,0.864,0.92,0.212,0.806,0.901,0.731,1,0,0,0
550,26.0,1.0,"""28.04.2015""","""International Convention on standards for fishing vessel personnel""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Ribeiro""","""A8-0064/2015""","""2013/0285/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0064&language=EN""","""Committee on Employment and Social Affairs""","""Employment & social affairs""","""approbation""",1.0,,0,"""RCV""","""+""",621,10,12,63.0,42.0,191.0,41.0,8.0,62.0,169.0,45.0,0.9,0.875,0.864,0.82,0.154,0.925,0.885,0.865,1,0,0,0
564,26.0,2.0,"""28.04.2015""","""Landing obligation""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Cadec""","""A8-0060/2014""","""2013/0436/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0060&language=EN""","""Committee on Fisheries""","""Fisheries""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",573,96,21,66.0,8.0,205.0,10.0,6.0,62.0,180.0,36.0,0.943,0.167,0.928,0.2,0.115,0.925,0.942,0.692,1,0,0,0
565,26.0,1.0,"""28.04.2015""","""Protocol to the Partnership and Cooperation Agreement between the EC and Russia to take account of the accession of Croatia to the EU""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Landsbergis""","""A8-0129/2015""","""2014/0052/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0129&language=EN""","""Committee on Foreign Affairs""","""Foreign & security policy""","""approbation""",1.0,,0,"""RCV""","""+""",591,32,67,13.0,42.0,203.0,46.0,6.0,65.0,181.0,35.0,0.186,0.875,0.919,0.92,0.115,0.97,0.948,0.673,1,0,0,0
569,27.0,1.0,"""29.04.2015""","""Pre-financing of operational programmes supported by the Youth Employment Initiative""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Chartier""","""A8-0134/2015""","""2015/0026/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0134&language=EN""","""Committee on Employment and Social Affairs""","""Employment & social affairs""","""single vote""",1.0,,0,"""RCV""","""+""",632,30,31,58.0,22.0,206.0,47.0,7.0,62.0,182.0,48.0,0.829,0.458,0.932,0.94,0.135,0.925,0.953,0.923,1,0,0,0
570,27.0,1.0,"""29.04.2015""","""Repeal of Council Regulation (EEC) No 3030/93 on common rules for imports of certain textile products from third countries""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Lange""","""A8-0026/2015""","""2014/0334/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0026&language=EN""","""Committee on International Trade""","""International trade""","""single vote""",1.0,,0,"""RCV""","""+""",679,9,8,62.0,53.0,210.0,47.0,14.0,63.0,182.0,48.0,0.886,1.104,0.95,0.94,0.269,0.94,0.953,0.923,1,0,0,0
571,27.0,1.0,"""29.04.2015""","""Safeguard measures provided for in the Agreement with Norway""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0046/2015""","""2014/0159/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0046&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",656,37,5,64.0,30.0,209.0,48.0,11.0,63.0,183.0,48.0,0.914,0.625,0.946,0.96,0.212,0.94,0.958,0.923,1,0,0,0
572,27.0,1.0,"""29.04.2015""","""Stabilisation and Association Agreement with Albania""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0047/2015""","""2014/0191/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0047&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",629,52,19,60.0,19.0,211.0,48.0,6.0,62.0,183.0,40.0,0.857,0.396,0.955,0.96,0.115,0.925,0.958,0.769,1,0,0,0
573,27.0,1.0,"""29.04.2015""","""Stabilisation and Association Agreement and Interim Agreement on trade and trade-related matters with Bosnia and Herzegovina""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0017/2015""","""2014/0206/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0017&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",628,53,18,61.0,18.0,210.0,47.0,6.0,63.0,183.0,40.0,0.871,0.375,0.95,0.94,0.115,0.94,0.958,0.769,1,0,0,0
574,27.0,1.0,"""29.04.2015""","""Stabilisation and Association Agreement with the former Yugoslav Republic of Macedonia""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0132/2015""","""2014/0199/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0132&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",628,49,19,62.0,18.0,210.0,48.0,7.0,63.0,181.0,39.0,0.886,0.375,0.95,0.96,0.135,0.94,0.948,0.75,1,0,0,0
725,27.0,16.0,"""29.04.2015""","""Money market funds""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Gill""","""A8-0041/2015""","""2013/0306/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0041&language=EN""","""Committee on Economic and Monetary Affairs""","""Economic & monetary affairs""","""vote: Commission proposal""",1.0,,0,"""RCV""","""+""",487,155,51,6.0,1.0,206.0,1.0,2.0,63.0,167.0,41.0,0.086,0.021,0.932,0.02,0.038,0.94,0.874,0.788,1,0,0,0
726,27.0,1.0,"""29.04.2015""","""Imports of textile products from certain third countries not covered by specific Union import rules""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Wałęsa""","""A8-0016/2015""","""2014/0177/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0016&language=EN""","""Committee on International Trade""","""International trade""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",634,35,20,63.0,24.0,207.0,49.0,6.0,61.0,178.0,46.0,0.9,0.5,0.937,0.98,0.115,0.91,0.932,0.885,1,0,0,0
810,29.0,1.0,"""19.05.2015""","""Safeguard measures provided for in the Agreement with the Swiss Confederation""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Duda""","""A8-0145/2015""","""2014/0158/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0145&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""single vote""",1.0,,0,"""RCV""","""+""",614,30,30,58.0,30.0,196.0,47.0,9.0,63.0,171.0,40.0,0.829,0.625,0.887,0.94,0.173,0.94,0.895,0.769,1,0,0,0
