Title;Number of votes in favour;Abstained;Objected;Subtitle;CELEX number;Initiating document;Procedure reference;Initial reference;Adopted acts;Latest consolidated version;Procedure status;EUROVOC descriptor;ECLI identifier;Subject matter;Directory code;Case-Law directory code (before Lisbon);Case-Law directory code (after Lisbon);Related document(s);Transposed legal act(s);Modified by;Rapporteur;Co author;Responsible body;Internal comment;Political group;Additional information;Date of document;Author;Document number;Date of effect;Date of debate;Date of vote;In force indicator;Number of the Official Journal;Number of pages;Publication Reference;;;;;;;;;;
Regulation (EU) 2023/2411 of the European Parliament and of the Council of 18 October 2023 on the protection of geographical indications for craft and industrial products and amending Regulations (EU) 2017/1001 and (EU) 2019/1753;;;;PE/31/2023/REV/1;32023R2411;;;;;;;craft production, international agreement, intellectual property, World Intellectual Property Organisation, industrial product, designation of origin, product designation, consumer information, quality control of industrial products, labelling;;Protocol on Ireland/Northern Ireland, External relations, Annex 2 Provisions of Union law referred to in Article 5(4), Intellectual property;Law relating to undertakings, External relations, Intellectual property law, Multilateral relations, Other spheres of multilateral cooperation;;;;;;;;;;;EEA relevance;18.10.2023;Council of the European Union, European Parliament;2411;2025-12-01, 2023-11-16;;;true;;;OJ L, 2023/2411,  27.10.2023, ELI: http://data.europa.eu/eli/reg/2023/2411/oj;;;;;;;;;;
Regulation (EU) 2023/2418 of the European Parliament and of the Council of 18 October 2023 on establishing an instrument for the reinforcement of the European defence industry through common procurement (EDIRPA);;;;PE/40/2023/REV/1;32023R2418;;;;;;;innovation, European defence policy, common security and defence policy, arms industry, defence expenditure, rearmament, European arms policy, military equipment, competitiveness, public procurement;;Industry, Public procurement in the European Union, Common foreign and security policy;Right of establishment and freedom to provide services, Industrial policy and internal market, Common Foreign and Security Policy, Public contracts, Industrial policy: sectoral operations, Other industrial sectors;;;;;;;;;;;;18.10.2023;Council of the European Union, European Parliament;2418;27.10.2023;;;true;;;OJ L, 2023/2418,  26.10.2023, ELI: http://data.europa.eu/eli/reg/2023/2418/oj;;;;;;;;;;
Regulation (EU) 2023/2124 of the European Parliament and of the Council of 4 October 2023 on certain provisions for fishing in the General Fisheries Commission for the Mediterranean (GFCM) Agreement area (recast);;;;PE/24/2023/REV/1;32023R2124;;;;;;;Mediterranean Sea, fishery resources, Black Sea, sea fishing, fishing agreement, fishing regulations, conservation of fish stocks, agreement (EU), fishing area;;Fisheries policy;Fisheries, Fisheries, Common fisheries policy, Common fisheries policy, Structural measures, Market organisation;;;;;;;;;;;;04.10.2023;European Parliament, Council of the European Union;2124;01.11.2023;;;true;;;OJ L, 2023/2124,  12.10.2023, ELI: http://data.europa.eu/eli/reg/2023/2124/oj;;;;;;;;;;
Regulation (EU) 2023/2053 of the European Parliament and of the Council of 13 September 2023 establishing a multiannual management plan for bluefin tuna in the eastern Atlantic and the Mediterranean,  amending Regulations (EC) No 1936/2001,  (EU) 2017/2107,  and (EU) 2019/833 and repealing Regulation (EU) 2016/1627;;;;PE/52/2023/INIT;32023R2053;;;;;;;sea fishing, Atlantic Ocean, fishing controls, Mediterranean Sea, sea fish, conservation of fish stocks, fishing area, catch by species, catch quota;;Fisheries policy;Fisheries, Common fisheries policy, Conservation of resources;;;;;;;;;;;;13.09.2023;European Parliament, Council of the European Union;2053;17.10.2023;;;true;238;64;OJ L 238, 27/09/2023, p. 1–64;;;;;;;;;;
Regulation (EU) 2023/1805 of the European Parliament and of the Council of 13 September 2023 on the use of renewable and low-carbon fuels in maritime transport,  and amending Directive 2009/16/EC (Text with EEA relevance);;;;PE/26/2023/INIT;32023R1805;;;;;;;maritime transport, energy resources, greenhouse gas, reduction of gas emissions, pollution from ships, marine fuel, renewable resources;;Fuels, Transport, Pollution;Transport policy, Environment, consumers and health protection, Shipping, Environment, Pollution and nuisances, Monitoring of atmospheric pollution;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1805R(01);;;;;;EEA relevance;13.09.2023;Council of the European Union, European Parliament;1805;2025-01-01, 2024-08-31, 2023-10-12;;;true;234;53;OJ L 234, 22/09/2023, p. 48–100;;;;;;;;;;
Regulation (EU) 2023/1804 of the European Parliament and of the Council of 13 September 2023 on the deployment of alternative fuels infrastructure,  and repealing Directive 2014/94/EU (Text with EEA relevance);;;;PE/25/2023/INIT;32023R1804;;;;;;;electric vehicle, sustainable mobility, transport infrastructure, energy resources, substitute fuel, motor vehicle pollution, reduction of gas emissions, clean technology, electricity supply, hydrogen;;Fuels, Transport, Energy;Transport policy, Environment, consumers and health protection, Environment, consumers and health protection, Transport infrastructure, Environment, Environment, Pollution and nuisances, General provisions and programmes;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1804R(01);;;;;;EEA relevance;13.09.2023;Council of the European Union, European Parliament;1804;2023-10-12, 2024-04-13;;;true;234;47;OJ L 234, 22/09/2023, p. 1–47;;;;;;;;;;
Directive (EU) 2023/1791 of the European Parliament and of the Council of 13 September 2023 on energy efficiency and amending Regulation (EU) 2023/955 (recast) (Text with EEA relevance);;;;PE/15/2023/INIT;32023L1791;;;;;;;EU energy policy, energy saving, adaptation to climate change, energy supply, security of supply, energy efficiency, energy use, reduction of gas emissions, energy consumption;;Energy, Environment;Energy, General principles and programmes, Rational utilisation and conservation of energy;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023L1791R(03), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023L1791R(02), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023L1791R(01);;;;;;EEA relevance;13.09.2023;European Parliament, Council of the European Union;1791;2023-10-10, 2024-06-30, 2025-10-12;;;true;231;111;OJ L 231, 20/09/2023, p. 1–111;;;;;;;;;;
Regulation (EU) 2023/1781 of the European Parliament and of the Council of 13 September 2023 establishing a framework of measures for strengthening Europe’s semiconductor ecosystem and amending Regulation (EU) 2021/694 (Chips Act) (Text with EEA relevance);;;;PE/28/2023/INIT;32023R1781;;;;;;;EU initiative, EU production, advanced technology industry, supply chain, EU Member State, value chain, electronic component, European Joint Undertaking, digital technology, security of supply;;Research and technological development, Industrial policy;Industrial policy and internal market, Industrial policy and internal market, Industrial policy: sectoral operations, Industrial policy: general, programmes, statistics and research, Other industrial sectors, Research and technological development;;;;;;;;Directorate-General for Communications Networks, Content and Technology, ;;;EEA relevance;13.09.2023;Council of the European Union, European Parliament;1781;21.09.2023;;;true;229;53;OJ L 229, 18/09/2023, p. 1–53;;;;;;;;;;
Regulation (EU) 2023/1542 of the European Parliament and of the Council of 12 July 2023 concerning batteries and waste batteries,  amending Directive 2008/98/EC and Regulation (EU) 2019/1020 and repealing Directive 2006/66/EC (Text with EEA relevance);;;;PE/2/2023/REV/1;32023R1542;;;;;;;product safety, consumer information, market approval, labelling, electronic waste, waste management, EC conformity marking, electricity storage device, hazardous waste;;Safety at work and elsewhere, Waste;Environment, consumers and health protection, Industrial policy and internal market, Environment, Internal market: approximation of laws, Space, environment and natural resources, Electrical material, Waste management and clean technology;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1542R(02), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1542R(04), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1542R(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1542R(03);;;;;;EEA relevance;12.07.2023;European Parliament, Council of the European Union;1542;2024-08-18, 2025-08-18, 2024-02-18, 1001-01-01, 2027-02-18, 2023-08-17;;;true;191;117;OJ L 191, 28/07/2023, p. 1–117;;;;;;;;;;
Directive (EU) 2023/1544 of the European Parliament and of the Council of 12 July 2023 laying down harmonised rules on the designation of designated establishments and the appointment of legal representatives for the purpose of gathering electronic evidence in criminal proceedings;;;;PE/3/2023/REV/1;32023L1544;;;;;;;single market, data protection, Internet, evidence, criminal proceedings, cross-border cooperation, personal data, exchange of information, provision of services;;Area of freedom, security and justice, Judicial cooperation in criminal matters, Justice and home affairs;Industrial policy and internal market, Area of freedom, security and justice, Industrial policy: sectoral operations, Police and judicial cooperation in criminal and customs matters, Information technology, telecommunications and data-processing, Judicial cooperation in criminal matters;;;;;;;;Directorate-General for Justice and Consumers, ;;;;12.07.2023;European Parliament, Council of the European Union;1544;17.08.2023;;;true;191;10;OJ L 191, 28/07/2023, p. 181–190;;;;;;;;;;
Regulation (EU) 2023/1543 of the European Parliament and of the Council of 12 July 2023 on European Production Orders and European Preservation Orders for electronic evidence in criminal proceedings and for the execution of custodial sentences following criminal proceedings;;;;PE/4/2023/REV/1;32023R1543;;;;;;;data protection, digital evidence, Internet, injunction, imprisonment, criminal proceedings, personal data, exchange of information, offence, provision of services;;Area of freedom, security and justice, Judicial cooperation in criminal matters, Justice and home affairs;Industrial policy and internal market, Area of freedom, security and justice, Industrial policy: sectoral operations, Police and judicial cooperation in criminal and customs matters, Information technology, telecommunications and data-processing, Judicial cooperation in criminal matters;;;;;;;;Directorate-General for Justice and Consumers, ;;;This act shall not apply to Denmark;12.07.2023;European Parliament, Council of the European Union;1543;1001-01-01, 2026-08-18, 2023-08-17;;;true;191;63;OJ L 191, 28/07/2023, p. 118–180;;;;;;;;;;
Regulation (EU) 2023/1525 of the European Parliament and of the Council of 20 July 2023 on supporting ammunition production (ASAP);;;;PE/46/2023/REV/1;32023R1525;;;;;;;arms industry, firearms and munitions, EU production, European defence policy, EU aid, EU financial instrument, common security and defence policy, arms supply, European arms policy, security of supply;;Industry, Common foreign and security policy;Common Foreign and Security Policy, Industrial policy and internal market, Industrial policy: sectoral operations, Other industrial sectors;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023C0724(01);;;;;;;;;20.07.2023;Council of the European Union, European Parliament;1525;25.07.2023;;;true;185;19;OJ L 185, 24/07/2023, p. 7–25;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
