,Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,Policy area,Subject,Final vote?,Am No.,Author,RCV,Vote,Yes,No,Abs,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
460,461,19,1,17.12.2019,Protocol to EU-Switzerland Agreement concerning the criteria and mechanisms for establishing the State responsible for examining a request for asylum lodged in a Member State or in Switzerland regarding the access to Eurodac for law enforcement purposes,***,Leg,Draft legislative resolution,s,Wiśniewska,A9-0025/2019,2018/0418/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0025_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,631,36,27,56,161,74,61,25,109,144,1,0.903,0.885,1.0,0.836,0.439,1.009,0.935,0.024,1,0,0,0
461,462,19,1,17.12.2019,Accession of Solomon Islands to the EU-Pacific States Interim Partnership Agreement,***,Leg,Draft legislative resolution,s,Lange,A9-0050/2019,2019/0099/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0050_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,534,145,13,58,162,8,40,20,108,138,0,0.935,0.89,0.108,0.548,0.351,1.0,0.896,0.0,1,0,0,0
465,466,20,1,18.12.2019,CAP: Financial discipline as from financial year 2021 and flexibility between pillars in respect of calendar year 2020,***I,Leg,Draft legislative resolution,s,Lins,A9-0042/2019,2019/0253/COD,https://www.europarl.europa.eu/doceo/document/A-9-2019-0042_EN.html,Committee on Agriculture and Rural Development,Agriculture,single vote,1.0,,0,RCV,+,637,27,20,58,156,71,57,24,112,132,27,0.935,0.857,0.959,0.781,0.421,1.037,0.857,0.659,1,0,0,0
466,467,20,1,18.12.2019,EU-GAmendmentbia Sustainable Fisheries Partnership Agreement and the Implementation Protocol thereto,***,Leg,Draft legislative resolution,s,Avram,A9-0026/2019,2019/0076/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0026_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,478,87,127,54,153,3,5,10,108,136,9,0.871,0.841,0.041,0.068,0.175,1.0,0.883,0.22,1,0,0,0
520,521,23,1,15.01.2020,"Protocol to the Agreement between the EU, Iceland and Norway concerning the criteria and mechanisms for establishing the State responsible for exAmendmentining a request for asylum lodged in a Member State or in Iceland or Norway regarding the access to Eurodac for law enforcement purposes",***,Leg,Draft legislative resolution,s,Wiśniewska,A9-0053/2019,2018/0419/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0053_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,550,24,22,50,142,60,57,29,96,113,3,0.806,0.78,0.811,0.781,0.509,0.889,0.734,0.073,1,0,0,0
521,522,23,1,15.01.2020,EU-China Agreement on certain aspects of air services,***,Leg,Draft legislative resolution,s,Poręba,A9-0041/2019,2018/0147/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0041_EN.html,Committee on Transport and Tourism,Transport & tourism,vote: consent,1.0,,0,RCV,+,597,34,32,58,149,70,43,29,106,128,13,0.935,0.819,0.946,0.589,0.509,0.981,0.831,0.317,1,0,0,0
734,735,25,1,29.01.2020,Withdrawal Agreement of the United Kingdom of Great Britain and Northern Ireland from the European Union and the European Atomic Energy Community,***,Leg,Motion for resolution,s,Verhofstadt,A9-0004/2020,2018/0427/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0004_EN.html,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,vote: consent ,1.0,,0,RCV,+,621,49,13,53,153,59,55,51,93,125,30,0.855,0.841,0.797,0.753,0.895,0.861,0.812,0.732,1,0,0,0
760,761,28,1,12.02.2020,Conclusion of the EU-Viet Nam Free Trade Agreement,***,Leg,Draft legislative resolution,s,Bourgeois,A9-0003/2020,2018/0356/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0003_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,401,192,40,41,143,5,10,15,86,101,0,0.661,0.786,0.068,0.137,0.263,0.796,0.656,0.0,0,1,0,0
766,767,28,1,12.02.2020,EU-Vietnam Investment Protection Agreement,***,Leg,Draft legislative resolution,s,Bourgeois,A9-0002/2020,2018/0358/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0002_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,407,188,53,48,145,1,14,9,87,103,0,0.774,0.797,0.014,0.192,0.158,0.806,0.669,0.0,1,0,0,0
812,813,29,1,13.02.2020,False and Authentic Documents Online (FADO) system,***I,Leg,Draft legislative resolution,s,Metsola,A9-0022/2019,2018/0330B/COD,https://www.europarl.europa.eu/doceo/document/A-9-2019-0022_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",Provisional agreement ,0.0,2,committee ,RCV,+,592,33,3,55,151,64,59,25,97,135,6,0.887,0.83,0.865,0.808,0.439,0.898,0.877,0.146,1,0,0,0
827,828,30,1,26.03.2020,Allocation of slots at Community airports: common rules,***I,Leg,Draft legislative resolution,s,0,C9-0082/2020,2020/0042/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0041_EN.html,Committee on Transport and Tourism,Transport & tourism,"Article 1, point 1",0.0,1,"EPP, S&D, Renew, ID, Greens/EFA, ECR, GUE/NGL",RCV,+,689,1,2,62,172,70,64,38,101,143,39,1.0,0.945,0.946,0.877,0.667,0.935,0.929,0.951,1,0,0,0
828,829,30,1,26.03.2020,Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative),***I,Leg,Draft legislative resolution,s,Omarjee,C9-0083/2020,2020/0043/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0042_EN.html,Committee on Regional Development,Regional development,"Article 1, point 1 Regulation (EU) No 1301/2013 Article 3, paragraph 1, subparagraph 3",0.0,2,ID,RCV,-,82,597,11,16,3,0,51,11,0,0,1,0.258,0.016,0.0,0.699,0.193,0.0,0.0,0.024,0,0,0,0
829,830,30,2,26.03.2020,Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative),***I,Leg,Draft legislative resolution,s,Omarjee,C9-0083/2020,2020/0043/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0042_EN.html,Committee on Regional Development,Regional development,"Article 3, before point 1 Regulation (EU) No 508/2014
Article 25, Paragraph 3 and Article 33",0.0,3+4,ID,RCV,-,75,594,21,11,3,0,50,9,0,0,2,0.177,0.016,0.0,0.685,0.158,0.0,0.0,0.049,0,0,0,0
830,831,30,3,26.03.2020,Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative),***I,Leg,Draft legislative resolution,s,Omarjee,C9-0083/2020,2020/0043/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0042_EN.html,Committee on Regional Development,Regional development,Recital 6,0.0,1,ID,RCV,-,97,590,1,19,3,0,63,11,0,0,1,0.306,0.016,0.0,0.863,0.193,0.0,0.0,0.024,0,0,0,0
831,832,30,1,26.03.2020,Financial assistance to Member States and countries negotiating their accession to the Union that are seriously affected by a major public health emergency,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0084/2020,2020/0044/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0043_EN.html,Committee on Regional Development,Regional development,After recital 3,0.0,1,ID,RCV,-,106,578,4,23,6,1,64,11,0,0,1,0.371,0.033,0.014,0.877,0.193,0.0,0.0,0.024,0,0,0,0
832,833,30,1,26.03.2020,Allocation of slots at Community airports: common rules,***I,Leg,Draft legislative resolution,s,0,C9-0082/2020,2020/0042/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0041_EN.html,Committee on Transport and Tourism,Transport & tourism,vote: Commission proposal,1.0,,0,RCV,+,686,0,2,64,171,67,63,38,100,144,39,1.032,0.94,0.905,0.863,0.667,0.926,0.935,0.951,1,0,0,1
833,834,30,1,26.03.2020,Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative),***I,Leg,Draft legislative resolution,s,Omarjee,C9-0083/2020,2020/0043/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0042_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,683,1,4,61,171,67,61,40,100,144,39,0.984,0.94,0.905,0.836,0.702,0.926,0.935,0.951,1,0,0,0
834,835,30,1,26.03.2020,Financial assistance to Member States and countries negotiating their accession to the Union that are seriously affected by a major public health emergency,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0084/2020,2020/0044/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0043_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,671,3,14,63,171,67,48,39,100,144,39,1.016,0.94,0.905,0.658,0.684,0.926,0.935,0.951,1,0,0,0
835,836,31,1,16.04.2020,Request for urgent procedure - Regulation Amendmentending the Multiannual financial framework 2014-2020,***,Leg,Proposal for a decision,s,Olbrycht/Marques,C9-0110/202,2020/0055/APP,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0044_EN.html,Committee on Budgets,Budget,vote: Commission proposal,1.0,,0,RCV,+,671,13,1,62,173,67,52,37,101,141,38,1.0,0.951,0.905,0.712,0.649,0.935,0.916,0.927,1,0,0,0
846,847,31,1,16.04.2020,Request for urgent procedure - Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Proposal for a decision,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,681,2,2,63,173,67,61,37,101,141,38,1.016,0.951,0.905,0.836,0.649,0.935,0.916,0.927,1,0,0,0
847,848,32,2,17.04.2020,Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,"Article 1, point 1
Regulation (EU) No 1303/2013 Article 25a",0.0,1,EUL/NGL,RCV,-,38,613,40,1,0,0,20,10,0,0,7,0.016,0.0,0.0,0.274,0.175,0.0,0.0,0.171,0,0,0,0
848,849,32,3,17.04.2020,Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,"Article 2, after point 1
Regulation (EU) No 1301/2013
Article 5, point 8, after point d",0.0,2,EUL/NGL,RCV,-,47,604,40,1,0,0,21,9,0,7,9,0.016,0.0,0.0,0.288,0.158,0.0,0.045,0.22,0,0,0,0
849,850,32,4,17.04.2020,Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,"Article 2, after point 1
Regulation (EU) No 1301/2013
Article 5, point 9, after point d",0.0,3,EUL/NGL,RCV,-,47,601,43,1,0,0,21,9,0,7,9,0.016,0.0,0.0,0.288,0.158,0.0,0.045,0.22,0,0,0,0
850,851,32,5,17.04.2020,Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,689,6,1,63,173,68,61,40,103,143,38,1.016,0.951,0.919,0.836,0.702,0.954,0.929,0.927,1,0,0,0
851,852,31,1,16.04.2020,Request for urgent procedure - Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Proposal for a decision,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0051_EN.html,Committee on Employment and Social Affairs,Employment & Social Affairs,vote: Commission proposal,1.0,,0,RCV,+,681,2,2,63,173,67,61,37,101,141,38,1.016,0.951,0.905,0.836,0.649,0.935,0.916,0.927,1,0,0,0
852,853,32,2,17.04.2020,Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Draft legislative resolution,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Employment and Social Affairs,Employment & Social Affairs,"Article 1, before point 1
Regulation (EU) No 223/2014 Article 6, after paragraph 4",0.0,3,EUL/NGL,RCV,-,20,660,10,1,0,0,1,4,0,6,8,0.016,0.0,0.0,0.014,0.07,0.0,0.039,0.195,0,0,0,0
853,854,32,3,17.04.2020,Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Draft legislative resolution,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Employment and Social Affairs,Employment & Social Affairs,"Article 1, point 5
Regulation (EU) No 223/2014 Article 23, after paragraph 4",0.0,2,"EPP, S&D, Renew, ID, Greens/EFA, ECR, EUL/NGL",RCV,+,681,7,3,63,174,65,60,38,103,140,38,1.016,0.956,0.878,0.822,0.667,0.954,0.909,0.927,1,0,0,0
854,855,32,4,17.04.2020,Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Draft legislative resolution,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Employment and Social Affairs,Employment & Social Affairs,"Article 1, after point 6
Regulation (EU) No 223/2014 Article 26, paragraph 4, point b",0.0,4,EUL/NGL,RCV,-,43,634,12,0,1,0,20,8,0,5,9,0.0,0.005,0.0,0.274,0.14,0.0,0.032,0.22,0,0,0,0
855,856,32,5,17.04.2020,Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Draft legislative resolution,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Employment and Social Affairs,Employment & Social Affairs,Recital 5,0.0,1,"EPP, S&D, Renew, ID, Greens/EFA, ECR, EUL/NGL",RCV,+,680,6,4,63,174,65,61,36,103,140,38,1.016,0.956,0.878,0.836,0.632,0.954,0.909,0.927,1,0,0,0
856,857,32,6,17.04.2020,Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Draft legislative resolution,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Employment and Social Affairs,Employment & Social Affairs,vote: Commission proposal,1.0,,0,RCV,+,686,7,3,63,173,68,60,38,103,143,38,1.016,0.951,0.919,0.822,0.667,0.954,0.929,0.927,1,0,0,0
857,858,31,1,16.04.2020,Request for urgent procedure - Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Proposal for a decision,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0052_EN.html,Committee on Fisheries,Fisheries,vote: Commission proposal,1.0,,0,RCV,+,664,6,15,62,173,66,51,35,101,141,35,1.0,0.951,0.892,0.699,0.614,0.935,0.916,0.854,1,0,0,0
858,859,32,2,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, point 1 Regulation (EU) No 508/2014 Article 13",0.0,1,EUL/NGL,RCV,-,22,641,26,0,0,0,1,4,0,1,16,0.0,0.0,0.0,0.014,0.07,0.0,0.006,0.39,0,0,0,0
859,860,32,3,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, point 1 Regulation (EU) No 508/2014 Article 13",0.0,9,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,602,72,17,62,173,6,55,32,102,138,34,1.0,0.951,0.081,0.753,0.561,0.944,0.896,0.829,1,0,0,0
860,861,32,4,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 5
Regulation (EU) No 508/2014 After article 29",0.0,2,EUL/NGL,RCV,-,79,585,27,2,3,0,45,8,0,1,20,0.032,0.016,0.0,0.616,0.14,0.0,0.006,0.488,0,0,0,0
861,862,32,5,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, point 6
Regulation (EU) No 508/2014 Article 33",0.0,10,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,607,68,16,62,174,9,54,33,102,139,34,1.0,0.956,0.122,0.74,0.579,0.944,0.903,0.829,1,0,0,0
862,863,32,6,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, point 8
Regulation (EU) No 508/2014 Article 55",0.0,11,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,606,71,14,62,173,9,55,32,102,139,34,1.0,0.951,0.122,0.753,0.561,0.944,0.903,0.829,1,0,0,0
863,864,32,7,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 10
Regulation (EU) No 508/2014 Article 68, after paragraph 2",0.0,3,EUL/NGL,RCV,-,77,589,24,2,4,0,44,10,0,1,16,0.032,0.022,0.0,0.603,0.175,0.0,0.006,0.39,0,0,0,0
864,865,32,8,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 10
Regulation (EU) No 508/2014 Article 69, after paragraph 2",0.0,12,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,613,76,2,62,173,9,57,33,102,139,38,1.0,0.951,0.122,0.781,0.579,0.944,0.903,0.927,1,0,0,0
865,866,32,9,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 10
Regulation (EU) No 508/2014 Article 70, paragraph 1",0.0,13,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,608,69,14,62,174,9,55,33,102,139,34,1.0,0.956,0.122,0.753,0.579,0.944,0.903,0.829,1,0,0,0
866,867,32,10,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 10
Regulation (EU) No 508/2014 Article 72, paragraph 2",0.0,14,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,612,66,13,62,174,9,55,33,102,139,38,1.0,0.956,0.122,0.753,0.579,0.944,0.903,0.927,1,0,0,0
867,868,32,11,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 12
Regulation (EU) No 508/2014 Article 94, after paragraph 4",0.0,4,EUL/NGL,RCV,-,75,590,26,1,3,0,44,10,0,1,16,0.016,0.016,0.0,0.603,0.175,0.0,0.006,0.39,0,0,0,0
868,869,32,12,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,"Article 1, after point 12
Regulation (EU) No 508/2014 Article 95, paragraph 2, point e",0.0,15,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,619,68,4,63,174,9,65,33,102,139,34,1.016,0.956,0.122,0.89,0.579,0.944,0.903,0.829,1,0,0,0
869,870,32,13,17.04.2020,Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Draft legislative resolution,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,Committee on Fisheries,Fisheries,Recital 2,0.0,5,"EPP, S&D, Renew, ID, ECR, EUL/NGL",RCV,+,607,81,3,62,173,9,55,33,102,139,34,1.0,0.951,0.122,0.753,0.579,0.944,0.903,0.829,1,0,0,0
