,Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,Policy area,Subject,Final vote?,Am No.,Author,RCV,Vote,Yes,No,Abs,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
466,467,20,1,18.12.2019,EU-GAmendmentbia Sustainable Fisheries Partnership Agreement and the Implementation Protocol thereto,***,Leg,Draft legislative resolution,s,Avram,A9-0026/2019,2019/0076/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0026_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,478,87,127,54,153,3,5,10,108,136,9,0.871,0.841,0.041,0.068,0.175,1.0,0.883,0.22,1,0,0,0
520,521,23,1,15.01.2020,"Protocol to the Agreement between the EU, Iceland and Norway concerning the criteria and mechanisms for establishing the State responsible for exAmendmentining a request for asylum lodged in a Member State or in Iceland or Norway regarding the access to Eurodac for law enforcement purposes",***,Leg,Draft legislative resolution,s,Wiśniewska,A9-0053/2019,2018/0419/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0053_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,550,24,22,50,142,60,57,29,96,113,3,0.806,0.78,0.811,0.781,0.509,0.889,0.734,0.073,1,0,0,0
521,522,23,1,15.01.2020,EU-China Agreement on certain aspects of air services,***,Leg,Draft legislative resolution,s,Poręba,A9-0041/2019,2018/0147/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2019-0041_EN.html,Committee on Transport and Tourism,Transport & tourism,vote: consent,1.0,,0,RCV,+,597,34,32,58,149,70,43,29,106,128,13,0.935,0.819,0.946,0.589,0.509,0.981,0.831,0.317,1,0,0,0
734,735,25,1,29.01.2020,Withdrawal Agreement of the United Kingdom of Great Britain and Northern Ireland from the European Union and the European Atomic Energy Community,***,Leg,Motion for resolution,s,Verhofstadt,A9-0004/2020,2018/0427/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0004_EN.html,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,vote: consent ,1.0,,0,RCV,+,621,49,13,53,153,59,55,51,93,125,30,0.855,0.841,0.797,0.753,0.895,0.861,0.812,0.732,1,0,0,0
760,761,28,1,12.02.2020,Conclusion of the EU-Viet Nam Free Trade Agreement,***,Leg,Draft legislative resolution,s,Bourgeois,A9-0003/2020,2018/0356/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0003_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,401,192,40,41,143,5,10,15,86,101,0,0.661,0.786,0.068,0.137,0.263,0.796,0.656,0.0,0,1,0,0
766,767,28,1,12.02.2020,EU-Vietnam Investment Protection Agreement,***,Leg,Draft legislative resolution,s,Bourgeois,A9-0002/2020,2018/0358/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0002_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,407,188,53,48,145,1,14,9,87,103,0,0.774,0.797,0.014,0.192,0.158,0.806,0.669,0.0,1,0,0,0
812,813,29,1,13.02.2020,False and Authentic Documents Online (FADO) system,***I,Leg,Draft legislative resolution,s,Metsola,A9-0022/2019,2018/0330B/COD,https://www.europarl.europa.eu/doceo/document/A-9-2019-0022_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",Provisional agreement ,0.0,2,committee ,RCV,+,592,33,3,55,151,64,59,25,97,135,6,0.887,0.83,0.865,0.808,0.439,0.898,0.877,0.146,1,0,0,0
832,833,30,1,26.03.2020,Allocation of slots at Community airports: common rules,***I,Leg,Draft legislative resolution,s,0,C9-0082/2020,2020/0042/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0041_EN.html,Committee on Transport and Tourism,Transport & tourism,vote: Commission proposal,1.0,,0,RCV,+,686,0,2,64,171,67,63,38,100,144,39,1.032,0.94,0.905,0.863,0.667,0.926,0.935,0.951,1,0,0,1
835,836,31,1,16.04.2020,Request for urgent procedure - Regulation Amendmentending the Multiannual financial framework 2014-2020,***,Leg,Proposal for a decision,s,Olbrycht/Marques,C9-0110/202,2020/0055/APP,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0044_EN.html,Committee on Budgets,Budget,vote: Commission proposal,1.0,,0,RCV,+,671,13,1,62,173,67,52,37,101,141,38,1.0,0.951,0.905,0.712,0.649,0.935,0.916,0.927,1,0,0,0
846,847,31,1,16.04.2020,Request for urgent procedure - Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Proposal for a decision,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,681,2,2,63,173,67,61,37,101,141,38,1.016,0.951,0.905,0.836,0.649,0.935,0.916,0.927,1,0,0,0
850,851,32,5,17.04.2020,Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,***I,Leg,Draft legislative resolution,s,Omarjee,C9-0095/2020,2020/0054/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0050_EN.html,Committee on Regional Development,Regional development,vote: Commission proposal,1.0,,0,RCV,+,689,6,1,63,173,68,61,40,103,143,38,1.016,0.951,0.919,0.836,0.702,0.954,0.929,0.927,1,0,0,0
851,852,31,1,16.04.2020,Request for urgent procedure - Introduction of specific measures for addressing the COVID-19 crisis,***I,Leg,Proposal for a decision,s,0,C9-0094/2020,2020/0058/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0051_EN.html,Committee on Employment and Social Affairs,Employment & Social Affairs,vote: Commission proposal,1.0,,0,RCV,+,681,2,2,63,173,67,61,37,101,141,38,1.016,0.951,0.905,0.836,0.649,0.935,0.916,0.927,1,0,0,0
857,858,31,1,16.04.2020,Request for urgent procedure - Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector,***I,Leg,Proposal for a decision,s,Karleskind,C9-0093/2020,2020/0059/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0052_EN.html,Committee on Fisheries,Fisheries,vote: Commission proposal,1.0,,0,RCV,+,664,6,15,62,173,66,51,35,101,141,35,1.0,0.951,0.892,0.699,0.614,0.935,0.916,0.854,1,0,0,0
875,876,31,1,16.04.2020,Request for urgent procedure - Medical devices,***I,Leg,Proposal for a decision,s,Nicholsonová,C9-0098/2020,2020/0060/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0053_EN.html,"Committee on the Environment, Public Health and Food Safety ",Environment & public health,vote: Commission proposal,1.0,,0,RCV,+,680,3,2,63,173,67,61,36,101,141,38,1.016,0.951,0.905,0.836,0.632,0.935,0.916,0.927,1,0,0,0
880,881,32,6,17.04.2020,Medical devices,***I,Leg,Draft legislative resolution,s,Nicholsonová,C9-0098/2020,2020/0060/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-17_EN.pdf,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: Commission proposal,1.0,,0,RCV,+,693,1,2,63,174,69,65,38,103,143,38,1.016,0.956,0.932,0.89,0.667,0.954,0.929,0.927,1,0,0,0
881,882,31,1,16.04.2020,Regulation Amendmentending the Multiannual financial framework 2014-2020,***I,Leg,Draft legislative resolution,s,Olbrycht/Marques,C9-0110/202,2020/0055/APP,https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-16_EN.pdf,Committee on Budgets,Budget,single vote,1.0,,0,RCV,+,464,11,4,49,95,39,48,31,80,95,27,0.79,0.522,0.527,0.658,0.544,0.741,0.617,0.659,0,0,0,0
990,991,33,1,13.05.2020,Request for urgent procedure - Macro-financial assistance to enlargement and neighbourhood partners in the context of the Covid-19 pandemic crisis,***I,Leg,Draft legislative resolution,s,0,C9-0119/2020,2020/0065/COD,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0125_EN.html,Committee on International Trade ,International trade,C9-0119/2020 - 2020/0065(COD),1.0,,0,RCV,+,602,80,7,55,172,68,4,27,102,140,34,0.887,0.945,0.919,0.055,0.474,0.944,0.909,0.829,1,0,0,0
994,995,35,5,15.05.2020,Macro-financial assistance to enlargement and neighbourhood partners in the context of the Covid-19 pandemic crisis,***I,Leg,Draft legislative resolution,s,0,C9-0119/2020,2020/0065/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-15_EN.pdf,Committee on International Trade ,International trade,Vote: Commission proposal,1.0,,0,RCV,+,547,93,47,46,171,70,0,28,102,130,0,0.742,0.94,0.946,0.0,0.491,0.944,0.844,0.0,1,0,0,0
995,996,33,1,13.05.2020,Request for urgent procedure - Temporary measures concerning the general meetings of European companies (SE) and of European Cooperative Societies (SCE),***,Leg,Draft legislative resolution,s,0,C9-0133/2020,2020/0073/APP,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-13_EN.pdf,Committee on Legal Affairs,Legal Affairs,C9-0133/2020 - 2020/0073/APP,1.0,,0,RCV,+,649,36,4,63,174,68,61,33,102,140,8,1.016,0.956,0.919,0.836,0.579,0.944,0.909,0.195,1,0,0,0
996,997,34,2,14.05.2020,Temporary measures concerning the general meetings of European companies (SE) and of European Cooperative Societies (SCE),***,Leg,Draft legislative resolution,s,0,C9-0133/2020,2020/0073/APP,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-14_EN.pdf,Committee on Legal affairs,Legal affairs,vote: consent,1.0,,0,RCV,+,657,30,6,63,176,69,63,36,102,140,8,1.016,0.967,0.932,0.863,0.632,0.944,0.909,0.195,1,0,0,0
997,998,33,1,13.05.2020,Request for urgent procedure - Temporary measures concerning the operation of air services,***I,Leg,Draft legislative resolution,s,0,C9-0124/2020,2020/0069/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-13_EN.pdf,Committee on Transport and Tourism,Transport & tourism,C9-0124/2020 - 2020/0069(COD),1.0,,0,RCV,+,587,98,4,63,175,5,62,31,101,138,12,1.016,0.962,0.068,0.849,0.544,0.935,0.896,0.293,1,0,0,0
1008,1009,35,12,15.05.2020,Temporary measures concerning the operation of air services,***I,Leg,Draft legislative resolution,s,0,C9-0124/2020,2020/0069/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-15_EN.pdf,Committee on Transport and Tourism,Transport & tourism,Vote: Commission proposal,1.0,,0,RCV,+,641,29,17,60,176,69,62,34,102,130,8,0.968,0.967,0.932,0.849,0.596,0.944,0.844,0.195,1,0,0,0
1009,1010,33,1,13.05.2020,Request for urgent procedure -  Temporary measures concerning the validity of certificates and licences (omnibus),***I,Leg,Draft legislative resolution,s,0,C9-0126/2020,2020/0068/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-13_EN.pdf,Committee on Transport and Tourism,Transport & tourism,C9-0126/2020 - 2020/0068(COD),1.0,,0,RCV,+,612,73,4,64,175,5,62,32,101,140,33,1.032,0.962,0.068,0.849,0.561,0.935,0.909,0.805,1,0,0,0
1015,1016,35,1,15.05.2020,Temporary measures concerning the validity of certificates and licences (omnibus),***I,Leg,Draft legislative resolution,s,0,C9-0126/2020,2020/0068/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-15_EN.pdf,Committee on Transport and Tourism,Transport & tourism,Vote: Commission proposal,1.0,0,0,RCV,+,669,11,8,61,176,69,63,37,102,125,36,0.984,0.967,0.932,0.863,0.649,0.944,0.812,0.878,1,0,0,0
1016,1017,33,1,13.05.2020,Request for urgent procedure -  Port infrastructure charges,***I,Leg,Draft legislative resolution,s,0,C9-0123/2020,2020/0067/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-13_EN.pdf,Committee on Transport and Tourism,Transport & tourism,C9-0123/2020 - 2020/0067(COD),1.0,,0,RCV,+,596,90,3,63,175,5,62,32,101,128,30,1.016,0.962,0.068,0.849,0.561,0.935,0.831,0.732,1,0,0,0
1025,1026,34,10,15.05.2020,Port infrastructure charges,***I,Leg,Draft legislative resolution,s,0,C9-0123/2020,2020/0067/COD,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=2020/0067(COD),Committee on Transport and Tourism,Transport & tourism,Vote: Commission proposal,1.0,,0,RCV,+,531,141,16,20,167,6,63,33,98,122,22,0.323,0.918,0.081,0.863,0.579,0.907,0.792,0.537,1,0,0,0
1026,1027,33,1,13.05.2020,Request for urgent procedure -  4th railway package: extension of the transposition periods,***I,Leg,Draft legislative resolution,s,0,C9-0125/2020,2020/0071/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-13_EN.pdf,Committee on Transport and Tourism,Transport & tourism, C9-0125/2020 - 2020/0071(COD),1.0,,0,RCV,+,611,75,3,64,175,5,59,30,101,140,37,1.032,0.962,0.068,0.808,0.526,0.935,0.909,0.902,1,0,0,0
1038,1039,35,13,15.05.2020,4th railway package: extension of the transposition periods,***I,Leg,Draft legislative resolution,s,0,C9-0125/2020,2020/0071/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-05-15_EN.pdf,Committee on Transport and Tourism,Transport & tourism,Vote: Commission proposal,1.0,,0,RCV,+,644,6,38,56,175,66,60,27,96,129,35,0.903,0.962,0.892,0.822,0.474,0.889,0.838,0.854,1,0,0,0
1039,1040,33,1,13.05.2020,EU-Montenegro status agreement on actions carried out by the European Border and Coast Guard Agency in Montenegro,***,Leg,Draft legislative resolution,s,Vollath,A9-0018/2020,2019/0043/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0018_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,568,109,11,61,174,5,60,29,101,137,1,0.984,0.956,0.068,0.822,0.509,0.935,0.89,0.024,1,0,0,0
1040,1041,33,1,13.05.2020,EU-Serbia status agreement on actions carried out by the European Border and Coast Guard Agency in Serbia,***,Leg,Draft legislative resolution,s,Vollath,A9-0019/2020,2018/0409/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0019_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,569,109,13,61,174,5,60,29,101,138,1,0.984,0.956,0.068,0.822,0.509,0.935,0.896,0.024,1,0,0,0
1041,1042,33,1,13.05.2020,Renewal of the EU-India Agreement for scientific and technological cooperation,***,Leg,Draft legislative resolution,s,Buşoi,A9-0096/2020,2020/0015/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0096_EN.html,"Committee on Industry, Research and Energy","Industry, Research & Energy",vote: consent,1.0,,0,RCV,+,663,16,11,61,175,67,58,33,102,128,39,0.984,0.962,0.905,0.795,0.579,0.944,0.831,0.951,1,0,0,0
1042,1043,33,1,13.05.2020,Renewal of the EU-Ukraine Agreement on cooperation in science and technology,***,Leg,Draft legislative resolution,s,Buşoi,A9-0095/2020,2020/0016/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0095_EN.html,"Committee on Industry, Research and Energy","Industry, Research & Energy",vote: consent,1.0,,0,RCV,+,671,10,9,61,175,67,58,33,102,139,36,0.984,0.962,0.905,0.795,0.579,0.944,0.903,0.878,1,0,0,0
1043,1044,33,1,13.05.2020,EU-Belarus Agreement on readmission of persons residing without authorisation,***,Leg,Draft legislative resolution,s,Vitanov,A9-0097/2020,2019/0181/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0097_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,560,117,13,64,174,6,60,30,101,124,1,1.032,0.956,0.081,0.822,0.526,0.935,0.805,0.024,1,0,0,0
1044,1045,33,1,13.05.2020,EU-Belarus Agreement on facilitation of issuance of visas,***,Leg,Draft legislative resolution,s,Kovařík,A9-0090/2020,2019/0182/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0090_EN.html,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: consent,1.0,,0,RCV,+,634,48,4,57,174,66,28,32,102,137,38,0.919,0.956,0.892,0.384,0.561,0.944,0.89,0.927,1,0,0,0
1045,1046,33,1,13.05.2020,Amending the International Convention for the Conservation of Atlantic Tunas (ICCAT) - Protocol,***,Leg,Draft legislative resolution,s,Conte,A9-0089/2020,2019/0225/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0089_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,667,2,13,63,174,68,54,36,102,131,39,1.016,0.956,0.919,0.74,0.632,0.944,0.851,0.951,1,0,0,0
1046,1047,33,1,13.05.2020,EC-Mauritania Fisheries Partnership Agreement: fishing opportunities and financial contribution. Extension of the Protocol,***,Leg,Draft legislative resolution,s,Aguilera,A9-0088/2020,2019/0210/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0088_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,575,58,57,58,170,64,2,19,100,139,23,0.935,0.934,0.865,0.027,0.333,0.926,0.903,0.561,1,0,0,0
1048,1049,33,1,13.05.2020,International road passenger transport services by coach and bus in the border regions: cabotage operations between Germany and Switzerland,***I,Leg,Draft legislative resolution,s,Ferber,A9-0006/2020,2019/0107/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0006_EN.html,Committee on Transport and Tourism,Transport & tourism,single vote,1.0,,0,RCV,+,676,1,13,64,174,68,60,34,102,140,34,1.032,0.956,0.919,0.822,0.596,0.944,0.909,0.829,1,0,0,0
1049,1050,33,1,13.05.2020,International road passenger transport services by coach and bus in the border regions: cabotage operations between Italy and Switzerland,***I,Leg,Draft legislative resolution,s,Ferber,A9-0007/2020,2019/0108/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0007_EN.html,Committee on Transport and Tourism,Transport & tourism,single vote,1.0,,0,RCV,+,678,1,12,64,175,68,61,34,102,140,34,1.032,0.962,0.919,0.836,0.596,0.944,0.909,0.829,1,0,0,0
1346,1347,35,1,15.05.2020,Transitional provisions for the support by the European Agricultural Fund for Rural Development (EAFRD) and by the European Agricultural Guarantee Fund (EAGF) in the year 2021 (AGRI)Decision to enter into interinstitutional negotiations,***I,Leg,Draft legislative resolution,s,Katainen,A9-0101/2020,2019/0254/COD,https://www.europarl.europa.eu/doceo/document/A-9-2020-0101_EN.html,Committee on Agriculture and Rural Development,Agriculture,vote: resolution (as a whole),1.0,,0,RCV,+,549,124,15,57,167,4,60,32,93,120,16,0.919,0.918,0.054,0.822,0.561,0.861,0.779,0.39,1,0,0,0
1354,1355,38,3,19.06.2020,Exceptional temporary support under EAFRD in response to the COVID-19 outbreak (Amendment of Regulation (EU) No 1305/2013),***I,Leg,Draft legislative resolution,s,Lins,C9-0128/2020,2020/0075/COD,https://www.europarl.europa.eu/doceo/document/PV-9-2020-06-19_EN.pdf,Committee on Agriculture and Rural Development,Agriculture,Vote: Commission proposal,1.0,,0,RCV,+,636,21,8,58,169,49,58,31,99,135,37,0.935,0.929,0.662,0.795,0.544,0.917,0.877,0.902,1,0,0,0
1436,1437,36,1,17.06.2020,Protocol on the implementation of the Fisheries Partnership Agreement between the European Community and the Republic of Cape Verde (2019-2024),***,Leg,Draft legislative resolution,s,Monteiro de Aguiar,A9-0024/2020,2019/0078/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0024_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,510,127,51,55,170,3,1,14,100,141,26,0.887,0.934,0.041,0.014,0.246,0.926,0.916,0.634,1,0,0,0
1438,1439,36,1,17.06.2020,Protocol on the implementation of the Fisheries Partnership Agreement between the European Community and Guinea-Bissau (2019-2024),***,Leg,Draft legislative resolution,s,Ferreira,A9-0012/2020,2019/0090/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0012_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,537,64,87,56,173,2,25,14,100,141,26,0.903,0.951,0.027,0.342,0.246,0.926,0.916,0.634,1,0,0,0
1440,1441,36,1,17.06.2020,Protocol on the implementation of the Fisheries Partnership Agreement between São Tomé and Príncipe and the European Community,***,Leg,Draft legislative resolution,s,Melo,A9-0001/2020,2019/0173/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0001_EN.html,Committee on Fisheries,Fisheries,vote: consent,1.0,,0,RCV,+,589,51,48,55,171,67,1,24,102,143,26,0.887,0.94,0.905,0.014,0.421,0.944,0.929,0.634,1,0,0,0
1441,1442,36,1,17.06.2020,EU-Swiss Confederation Agreement on the modification of Switzerland’s WTO concessions (Article XXVIII of the GATT 1994) with regard to seasoned meat ,***,Leg,Draft legislative resolution,s,Warborn,A9-0092/2020,2019/0196/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0092_EN.html,Committee on International Trade,International trade,vote: consent,1.0,,0,RCV,+,682,2,4,61,174,66,62,36,102,143,38,0.984,0.956,0.892,0.849,0.632,0.944,0.929,0.927,1,0,0,0
1447,1448,36,1,17.06.2020,Conclusion of the EU-Moldova Common Aviation Area Agreement,***,Leg,Draft legislative resolution,s,Zīle,A9-0084/2020,2012/0006/NLE,https://www.europarl.europa.eu/doceo/document/A-9-2020-0084_EN.html,Committee on Transport and Tourism,Transport & tourism,vote: consent,1.0,,0,RCV,+,654,10,24,61,174,67,44,33,102,143,30,0.984,0.956,0.905,0.603,0.579,0.944,0.929,0.732,1,0,0,0
