Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,De,Subject,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
2111,82.0,1,2011-09-13 00:00:00,Voluntary modulation of direct payments under the common agricultural policy,***I,Leg,Draft legislative resolution,s,Reimers ,A7-0203/2011,2010/0372/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0203&language=EN,Committee on Agriculture and Rural Development,Agriculture,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,641,21,9,49.0,14.0,242.0,50.0,8.0,78.0,174.0,26.0,0.86,0.452,0.886,0.877,0.242,0.94,0.892,0.743,1,0,0,0
2112,82.0,1,2011-09-13 00:00:00,Officially supported export credits,***I,Leg,Draft legislative resolution,s,Jadot,A7-0364/2010 ,2006/0167/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0364&language=EN,Committee on International Trade,International trade,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,643,20,9,48.0,15.0,242.0,51.0,12.0,78.0,174.0,23.0,0.842,0.484,0.886,0.895,0.364,0.94,0.892,0.657,1,0,0,0
2135,83.0,1,2011-09-14 00:00:00,Energy market integrity and transparency,***I,Leg,Draft legislative resolution,s,Chatzimarkakis,A7-0273/2011,2010/0363/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0273&language=EN,"Committee on Industry, Research and Energy","Industry, research & energy",single vote,1.0,,0,RCV,+,616,26,24,46.0,16.0,247.0,49.0,9.0,74.0,175.0,0.0,0.807,0.516,0.905,0.86,0.273,0.892,0.897,0.0,1,0,0,0
2145,85.0,1,2011-09-27 00:00:00,EU-Cape Verde Fisheries Partnership Agreement,***,Leg,Draft legislative resolution,s,Gallagher,A7-0299/2011,2011/0097/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0299&language=EN,Committee on Fisheries,Fisheries,single vote,1.0,,0,RCV,+,539,82,21,41.0,17.0,228.0,0.0,7.0,73.0,154.0,19.0,0.719,0.548,0.835,0.0,0.212,0.88,0.79,0.543,1,0,0,0
2146,85.0,1,2011-09-27 00:00:00,Extension of scope of regulation on the professional cross-border transportation of euro cash by road between euro-area Member States,***,Leg,Draft legislative resolution,s,Auconie,A7-0077/2011 ,2010/0206/APP,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0077&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,single vote,1.0,,0,RCV,+,626,23,7,45.0,18.0,239.0,45.0,7.0,79.0,167.0,26.0,0.789,0.581,0.875,0.789,0.212,0.952,0.856,0.743,1,0,0,0
2147,85.0,1,2011-09-27 00:00:00,Professional cross-border transportation of euro cash by road between euro-area Member States,***I,Leg,Draft legislative resolution,s,Auconie,A7-0076/2011 ,2010/0204/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0076&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,634,23,8,45.0,18.0,242.0,50.0,6.0,79.0,167.0,27.0,0.789,0.581,0.886,0.877,0.182,0.952,0.856,0.771,1,0,0,0
2148,85.0,1,2011-09-27 00:00:00,Dual-use items and technology,***I,Leg,Draft legislative resolution,s,Leichtfried,A7-0028/2011 ,2008/0249/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0028&language=EN,Committee on International Trade,International trade,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,567,89,12,47.0,19.0,241.0,0.0,12.0,80.0,168.0,0.0,0.825,0.613,0.883,0.0,0.364,0.964,0.862,0.0,1,0,0,0
2172,87.0,1,2011-09-29 00:00:00,Amendment of Regulation (EC) No 1927/2006 establishing the European Globalisation Adjustment Fund,***I,Leg,Draft legislative resolution,s,Berès,A7-0308/2011,2011/0147/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0308&language=EN,Committee on Employment and Social Affairs,Employment & social affairs,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,498,63,13,2.0,11.0,200.0,43.0,12.0,58.0,149.0,23.0,0.035,0.355,0.733,0.754,0.364,0.699,0.764,0.657,1,0,0,0
2194,88.0,1,2011-10-13 00:00:00,Subscription to additional shares in the capital of the European Bank for Reconstruction and Development,***I,Leg,Draft legislative resolution,s,Bowles ,A7-0227/2011 ,2011/0014/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0227&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,573,64,9,46.0,9.0,239.0,47.0,6.0,64.0,162.0,0.0,0.807,0.29,0.875,0.825,0.182,0.771,0.831,0.0,1,0,0,0
2195,88.0,1,2011-10-13 00:00:00,"Implementation of Article 10 of the United Nations Firearms Protocol and establishing export authorisation, import and transit measures for firearms, their parts and components and ammunition",***I,Leg,Draft legislative resolution,s,Iacolino,A7-0157/2011,2010/0147/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0157&language=EN,Committee on International Trade,International trade,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,624,17,2,49.0,21.0,238.0,46.0,16.0,64.0,162.0,28.0,0.86,0.677,0.872,0.807,0.485,0.771,0.831,0.8,1,0,0,0
2196,88.0,1,2011-10-13 00:00:00,Exceptional trade measures for countries and territories participating in or linked to the EU's Stabilisation and Association process,***I,Leg,Draft legislative resolution,s,Moreira ,A7-0243/2010 ,2010/0036/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0243&language=EN,Committee on International Trade,International trade,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,605,20,18,48.0,19.0,237.0,46.0,13.0,64.0,161.0,17.0,0.842,0.613,0.868,0.807,0.394,0.771,0.826,0.486,1,0,0,0
2199,89.0,1,2011-10-25 00:00:00,Tyres for motor vehicles and their trailers,***I,Leg,Draft legislative resolution,s,López-Istúriz White,A7-0349/2011,2011/0053/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0349&language=EN,Committee on Legal Affairs,Juridical affairs,single vote,1.0,,0,RCV,+,625,6,11,43.0,15.0,235.0,50.0,18.0,73.0,164.0,27.0,0.754,0.484,0.861,0.877,0.545,0.88,0.841,0.771,1,0,0,0
2201,89.0,1,2011-10-25 00:00:00,Application of emission stages to narrow-track tractors,***I,Leg,Draft legislative resolution,s,Tatarella ,A7-0282/2011,2011/0002/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0282&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,630,4,18,41.0,16.0,239.0,49.0,19.0,73.0,167.0,26.0,0.719,0.516,0.875,0.86,0.576,0.88,0.856,0.743,1,0,0,0
2202,89.0,1,2011-10-25 00:00:00,Engines placed on the market under the flexibility scheme,***I,Leg,Draft legislative resolution,s,Pietikäinen ,A7-0080/2011,2010/0195/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0080&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,572,68,14,40.0,17.0,241.0,3.0,8.0,73.0,164.0,26.0,0.702,0.548,0.883,0.053,0.242,0.88,0.841,0.743,1,0,0,0
2290,91.0,1,2011-10-27 00:00:00,Sexual abuse and sexual exploitation of children and child pornography,***I,Leg,Draft legislative resolution,s,Angelilli,A7-0294/2011,2010/0064/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0294&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,541,2,31,36.0,16.0,204.0,42.0,18.0,70.0,150.0,5.0,0.632,0.516,0.747,0.737,0.545,0.843,0.769,0.143,1,0,0,0
2291,91.0,1,2011-10-27 00:00:00,Qualification and status of third country nationals or stateless persons as beneficiaries of international protection,***I,Leg,Draft legislative resolution,s,Lambert,A7-0271/2011 ,2009/0164/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0271&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,476,24,73,5.0,5.0,200.0,43.0,7.0,68.0,147.0,1.0,0.088,0.161,0.733,0.754,0.212,0.819,0.754,0.029,1,0,0,0
2292,91.0,1,2011-10-27 00:00:00,EU-Australia agreement on the processing and transfer of PNR data,***,Leg,Draft legislative resolution,s,Sophia in 't Veld ,A7-0364/2011 ,2011/0126/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0364&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,463,96,11,38.0,12.0,204.0,0.0,6.0,62.0,141.0,0.0,0.667,0.387,0.747,0.0,0.182,0.747,0.723,0.0,1,0,0,0
2299,91.0,1,2011-11-15 00:00:00,Coordination of safeguards required of companies (Article 54 TFEU),***I,Leg,Draft legislative resolution,s, Lehne ,A7-0348/2011 ,2011/0011/COD,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A7-2011-0348+0+DOC+XML+V0//EN,Committee on Legal Affairs,Juridical affairs,single vote,1.0,,0,RCV,+,531,19,0,42.0,18.0,201.0,32.0,9.0,62.0,143.0,24.0,0.737,0.581,0.736,0.561,0.273,0.747,0.733,0.686,1,0,0,0
2300,91.0,1,2011-11-15 00:00:00,Athens Convention on carriage of passengers and their luggage by sea - excluding Articles 10 and 11,***,Leg,Draft legislative resolution,s,Simpson,A7-0356/2011 ,2003/0132A/NLE,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A7-2011-0356+0+DOC+XML+V0//EN,Committee on Transport and Tourism,Transport & tourism,single vote,1.0,,0,RCV,+,560,18,5,46.0,21.0,204.0,35.0,10.0,64.0,156.0,24.0,0.807,0.677,0.747,0.614,0.303,0.771,0.8,0.686,1,0,0,0
2345,93.0,1,2011-11-17 00:00:00,Further development of an integrated maritime policy,***I,Leg,Draft legislative resolution,s,Koumoutsakos,A7-0163/2011,2010/0257/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0163&language=EN,Committee on Transport and Tourism,Transport & tourism,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,541,33,14,20.0,17.0,205.0,45.0,9.0,68.0,160.0,17.0,0.351,0.548,0.751,0.789,0.273,0.819,0.821,0.486,1,0,0,0
2370,94.0,1,2011-12-01 00:00:00,Repayable assistance and financial engineering,***I,Leg,Draft legislative resolution,s,Hübner,A7-0380/2011 ,2011/0210/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0380&language=EN,Committee on Regional Development,Regional development,single vote,1.0,,0,RCV,+,592,18,13,43.0,20.0,218.0,49.0,12.0,70.0,153.0,27.0,0.754,0.645,0.799,0.86,0.364,0.843,0.785,0.771,1,0,0,0
2371,94.0,1,2011-12-01 00:00:00,Financial management for certain Members States experiencing or threatened with serious difficulties with respect to their financial stability (ERDF and ESF),***I,Leg,Draft legislative resolution,s,Hübner,A7-0383/2011 ,2011/0211/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0383&language=EN,Committee on Regional Development,Regional development,single vote,1.0,,0,RCV,+,536,43,44,1.0,15.0,215.0,49.0,6.0,70.0,152.0,28.0,0.018,0.484,0.788,0.86,0.182,0.843,0.779,0.8,1,0,0,0
2376,94.0,1,2011-12-01 00:00:00,Financing instrument for development cooperation - banana accompanying measures,***III,Leg,Draft legislative resolution,s,Goerens,A7-0403/2011,2010/0059/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0403&language=EN,Parliament's delegation to the Conciliation Committee,Development,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,324,178,130,43.0,14.0,226.0,0.0,6.0,9.0,26.0,0.0,0.754,0.452,0.828,0.0,0.182,0.108,0.133,0.0,0,1,0,0
2377,94.0,1,2011-12-01 00:00:00,Establishment of a financing instrument for cooperation with industrialised countries,***III,Leg,Draft legislative resolution,s,Scholz,A7-0401/2011,2009/0059/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0401&language=EN,Parliament's delegation to the Conciliation Committee,Development,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,590,26,16,46.0,20.0,225.0,51.0,5.0,72.0,151.0,20.0,0.807,0.645,0.824,0.895,0.152,0.867,0.774,0.571,1,0,0,0
2380,94.0,1,2011-12-01 00:00:00,Statistical returns in respect of the carriage of goods by road,***I,Leg,Draft legislative resolution,s,Simpson,A7-0212/2011,2010/0258/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0212&language=EN,Committee on Transport and Tourism,Transport & tourism,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,607,15,9,47.0,23.0,228.0,50.0,7.0,73.0,151.0,28.0,0.825,0.742,0.835,0.877,0.212,0.88,0.774,0.8,1,0,0,0
2381,94.0,1,2011-12-01 00:00:00,Kaliningrad area and certain Polish administrative districts,***I,Leg,Draft legislative resolution,s,Triantaphyllides,A7-0398/2011 ,2011/0199/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0398&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,556,69,12,1.0,14.0,226.0,49.0,8.0,72.0,157.0,29.0,0.018,0.452,0.828,0.86,0.242,0.867,0.805,0.829,1,0,0,0
2382,94.0,1,2011-12-01 00:00:00,Accession Treaty : Treaty concerning the accession of the Republic of Croatia,***,Leg,Draft legislative resolution,s,Swoboda,A7-0390/2011,2011/0805/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0390&language=EN,Committee on Foreign Affairs,Foreign & security policy,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,564,38,32,43.0,14.0,217.0,51.0,7.0,70.0,144.0,18.0,0.754,0.452,0.795,0.895,0.212,0.843,0.738,0.514,1,0,0,0
2406,95.0,1,2011-12-13 00:00:00,Right to information in criminal proceedings,***I,Leg,Draft legislative resolution,s,Sippel,A7-0408/2011,2010/0215/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0408&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",single vote,1.0,,0,RCV,+,663,24,17,51.0,13.0,258.0,53.0,10.0,76.0,175.0,27.0,0.895,0.419,0.945,0.93,0.303,0.916,0.897,0.771,1,0,0,0
2407,95.0,1,2011-12-13 00:00:00,Financial management for Member States experiencing or threatened with serious difficulties with respect to financial stability,***I,Leg,Draft legislative resolution,s,De Castro,A7-0405/2011,2011/0209/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0405&language=EN,Committee on Agriculture and Rural Development,Agriculture,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,622,60,17,24.0,9.0,248.0,51.0,9.0,77.0,177.0,27.0,0.421,0.29,0.908,0.895,0.273,0.928,0.908,0.771,1,0,0,0
2408,96.0,1,2011-12-14 00:00:00,Instrument for pre-accession assistance,***I,Leg,Draft legislative resolution,s,Albertini,A7-0397/2011,2011/0193/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0397&language=EN,Committee on Foreign Affairs,Foreign & security policy,single vote,1.0,,0,RCV,+,549,34,12,42.0,9.0,215.0,41.0,5.0,70.0,150.0,17.0,0.737,0.29,0.788,0.719,0.152,0.843,0.769,0.486,1,0,0,0
2412,96.0,1,2011-12-14 00:00:00,Use of phosphates and other phosphorous compounds in household laundry detergents,***I,Leg,Draft legislative resolution,s,Dunn,A7-0246/2011,2010/0298/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0246&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,631,18,4,46.0,21.0,234.0,49.0,16.0,74.0,166.0,25.0,0.807,0.677,0.857,0.86,0.485,0.892,0.851,0.714,1,0,0,0
2413,96.0,1,2011-12-14 00:00:00,EU-Morocco fisheries partnership agreement,***,Leg,Draft legislative resolution,s,Haglund,A7-0394/2011,2011/0139/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0394&language=EN,Committee on Fisheries,Fisheries,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,-,296,326,58,7.0,6.0,168.0,0.0,7.0,13.0,95.0,0.0,0.123,0.194,0.615,0.0,0.212,0.157,0.487,0.0,0,0,0,0
2477,99.0,1,2012-01-19 00:00:00,Community Code on Visas,***I,Leg,Draft legislative resolution,s,Michel,A7-0441/2011,2011/0223/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0441&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",single vote,1.0,,0,RCV,+,607,23,11,42.0,10.0,232.0,47.0,6.0,69.0,173.0,28.0,0.737,0.323,0.85,0.825,0.182,0.831,0.887,0.8,1,0,0,0
2478,99.0,1,2012-01-19 00:00:00,EU accession to Regulation No 29 of the UN Economic Commission for Europe,***,Leg,Draft legislative resolution,s,Moreira ,A7-0005/2012,2011/0191/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0005&language=EN,Committee on International Trade,International trade,single vote,1.0,,0,RCV,+,628,1,10,42.0,17.0,238.0,46.0,16.0,69.0,171.0,29.0,0.737,0.548,0.872,0.807,0.485,0.831,0.877,0.829,1,0,0,0
2479,99.0,1,2012-01-19 00:00:00,Pedestrian safety and light emitting diodes,***,Leg,Draft legislative resolution,s,Moreira,A7-0004/2012,2011/0188/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0004&language=EN,Committee on International Trade,International trade,single vote,1.0,,0,RCV,+,627,3,10,44.0,17.0,235.0,47.0,15.0,68.0,173.0,28.0,0.772,0.548,0.861,0.825,0.455,0.819,0.887,0.8,1,0,0,0
2514,101.0,1,2012-02-14 00:00:00,Office for Harmonisation in the Internal Market (Trade Marks and Designs) and protection of intellectual property rights,***I,Leg,Draft legislative resolution,s,Masip Hidalgo,A7-0003/2012,2011/0135/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0003&language=EN,Committee on Legal Affairs,Juridical affairs,single vote,1.0,,0,RCV,+,569,15,71,44.0,18.0,243.0,4.0,13.0,73.0,160.0,14.0,0.772,0.581,0.89,0.07,0.394,0.88,0.821,0.4,1,0,0,0
2515,101.0,1,2012-02-14 00:00:00,"Interconnection of central, commercial and companies registers",***I,Leg,Draft legislative resolution,s,Lechner ,A7-0022/2012,2011/0038/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0022&language=EN,Committee on Legal Affairs,Juridical affairs,single vote,1.0,,0,RCV,+,654,14,3,47.0,17.0,248.0,52.0,17.0,75.0,172.0,26.0,0.825,0.548,0.908,0.912,0.515,0.904,0.882,0.743,1,0,0,0
2516,101.0,1,2012-02-14 00:00:00,EU - Guinea-Bissau protocol on fishing opportunities,***,Leg,Draft legislative resolution,s,Haglund,A7-0017/2012,2011/0257/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0017&language=EN,Committee on Fisheries,Fisheries,single vote,1.0,,0,RCV,+,628,22,20,42.0,15.0,248.0,48.0,12.0,75.0,170.0,18.0,0.737,0.484,0.908,0.842,0.364,0.904,0.872,0.514,1,0,0,0
2517,101.0,1,2012-02-14 00:00:00,Technical requirements for credit transfers and direct debits in euros,***I,Leg,Draft legislative resolution,s,Essayah,A7-0292/2011 ,2010/0373/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0292&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,635,17,31,49.0,16.0,250.0,53.0,14.0,76.0,174.0,3.0,0.86,0.516,0.916,0.93,0.424,0.916,0.892,0.086,1,0,0,0
2520,102.0,1,2012-02-15 00:00:00,Contractual relations in the milk and milk products sector,***I,Leg,Draft legislative resolution,s,Nicholson,A7-0262/2011,2010/0362/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0262&language=EN,Committee on Agriculture and Rural Development,Agriculture,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,574,97,18,46.0,19.0,253.0,3.0,11.0,73.0,169.0,0.0,0.807,0.613,0.927,0.053,0.333,0.88,0.867,0.0,1,0,0,0
2540,103.0,1,2012-02-16 00:00:00,Agreement between the EU and Morocco concerning reciprocal liberalisation measures on agricultural products and fishery products - report Bové ,***,Leg,Draft legislative resolution,s,Bové,A7-0023/2012,2010/0248/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0023&language=EN,Committee on International Trade,International trade,vote: resolution (text as a whole)  ,1.0,,0,RCV,+,369,225,31,30.0,5.0,154.0,1.0,4.0,58.0,117.0,0.0,0.526,0.161,0.564,0.018,0.121,0.699,0.6,0.0,0,0,0,0
2544,103.0,1,2012-02-16 00:00:00,Regional Convention on pan-Euro-Mediterranean preferential rules of origin,***,Leg,Draft legislative resolution,s,Menéndez del Valle,A7-0026/2012,2010/0093/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0026&language=EN,Committee on International Trade,International trade,vote: resolution (text as a whole)  ,1.0,,0,RCV,+,528,51,11,38.0,6.0,215.0,48.0,10.0,59.0,152.0,0.0,0.667,0.194,0.788,0.842,0.303,0.711,0.779,0.0,1,0,0,0
2546,104.0,1,2012-03-13 00:00:00,"EU, Iceland and Norway agreement on the application of certain provisions of the Convention on Mutual Assistance in Criminal Matters",***,Leg,Draft legislative resolution,s,Moraes ,A7-0020/2012,2009/0189/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0020&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",single vote,1.0,,0,RCV,+,641,10,21,48.0,12.0,242.0,51.0,15.0,72.0,175.0,26.0,0.842,0.387,0.886,0.895,0.455,0.867,0.897,0.743,1,0,0,0
2547,104.0,1,2012-03-13 00:00:00,Succession and the European Certificate of Succession,***I,Leg,Draft legislative resolution,s,Lechner,A7-0045/2012,2009/0157/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0045&language=EN,Committee on Legal Affairs,Juridical affairs,vote: legislative resolution,1.0,,0,RCV,+,589,21,79,4.0,4.0,246.0,53.0,17.0,74.0,169.0,22.0,0.07,0.129,0.901,0.93,0.515,0.892,0.867,0.629,1,0,0,0
2600,105.0,1,2012-03-14 00:00:00,European Fisheries Fund,***I,Leg,Draft legislative resolution,s,Ferreira,A7-0447/2011 ,2011/0212/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0447&language=EN,Committee on Fisheries,Fisheries,single vote,1.0,,0,RCV,+,617,19,9,41.0,18.0,232.0,51.0,10.0,70.0,168.0,27.0,0.719,0.581,0.85,0.895,0.303,0.843,0.862,0.771,1,0,0,0
2601,105.0,1,2012-03-14 00:00:00,Autonomous tariff quota for imports of high-quality beef,***I,Leg,Draft legislative resolution,s,Quisthoudt-Rowohl ,A7-0025/2012 ,2011/0169/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0025&language=EN,Committee on International Trade,International trade,single vote,1.0,,0,RCV,+,650,11,11,48.0,23.0,243.0,52.0,16.0,71.0,174.0,23.0,0.842,0.742,0.89,0.912,0.485,0.855,0.892,0.657,1,0,0,0
2602,105.0,1,2012-03-14 00:00:00,Common commercial policy,***I,Leg,Draft legislative resolution,s,Quisthoudt-Rowohl ,A7-0028/2012 ,2011/0039/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0028&language=EN,Committee on International Trade,International trade,vote: legislative resolution,1.0,,0,RCV,+,587,24,61,47.0,18.0,247.0,1.0,8.0,70.0,175.0,21.0,0.825,0.581,0.905,0.018,0.242,0.843,0.897,0.6,1,0,0,0
2662,107.0,1,2012-03-29 00:00:00,"Derivatives, central counterparties and trade repositories",***I,Leg,Draft legislative resolution,s,Langen ,A7-0223/2011,2010/0250/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2011-0223&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution,1.0,,0,RCV,+,602,23,27,40.0,16.0,242.0,46.0,15.0,68.0,171.0,4.0,0.702,0.516,0.886,0.807,0.455,0.819,0.877,0.114,1,0,0,0
2663,107.0,1,2012-03-29 00:00:00,Minimum health and safety requirements regarding the exposure of workers to the risks arising from physical agents (electromagnetic fields),***I,Leg,Draft legislative resolution,s,Morin-Chartier,A7-0042/2012,2012/0003/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0042&language=EN,Committee on Employment and Social Affairs,Employment & social affairs,vote: legislative resolution,1.0,,0,RCV,+,610,37,14,40.0,19.0,245.0,49.0,13.0,71.0,173.0,0.0,0.702,0.613,0.897,0.86,0.394,0.855,0.887,0.0,1,0,0,0
2692,108.0,1,2012-04-18 00:00:00,Coordination of social security systems,***I,Leg,Draft legislative resolution,s,Cabrnoch,A7-0043/2012 ,2010/0380/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0043&language=EN,Committee on Employment and Social Affairs,Employment & social affairs,single vote,1.0,,0,RCV,+,540,19,30,41.0,7.0,219.0,47.0,8.0,62.0,140.0,16.0,0.719,0.226,0.802,0.825,0.242,0.747,0.718,0.457,1,0,0,0
2693,108.0,1,2012-04-18 00:00:00,Accession of the European Union to the Treaty of Amity and Cooperation in Southeast Asia,***,Leg,Draft legislative resolution,s,Brok,A7-0139/2012 ,2012/0028/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2012-0139&language=EN,Committee on Foreign Affairs,Foreign & security policy,single vote,1.0,,0,RCV,+,613,20,7,46.0,16.0,242.0,49.0,10.0,73.0,154.0,23.0,0.807,0.516,0.886,0.86,0.303,0.88,0.79,0.657,1,0,0,0
