Vote ID;File;Order of vote;Date;O'clock;Title;Title_Ro;Title_Fr;Title_German;Title_Polski;Procedure;Leg/Non-Leg/Bud;Type of Vote;Voting Rule;Rapporteur;Code;interinstitutional file number;Link;Committee responsabile;De/Policy area;Subject;Subject_ro;Subject_fr;Subject_ger;Subject_pl;"Final vote?";Am No.;Author;RCV;Vote;Yeas;No;Abs
20;2;5;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;After paragraph 30;;;;;0;12;GUE/NGL;RCV;-;152;313;182
21;2;6;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;After paragraph 30;;;;;0;13;GUE/NGL;RCV;-;126;363;150
22;2;7;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 37 ;;;;;0;7D;ECR;RCV;-;74;553;13
23;2;8;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 42;;;;;0;;original text;RCV;+;516;88;39
24;2;9;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 42;;;;;0;;original text;RCV;+;301;110;219
25;2;10;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 42;;;;;0;;original text;RCV;+;437;29;167
26;2;11;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 42;;;;;0;;original text;RCV;+;533;57;53
27;2;12;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;After paragraph 42;;;;;0;3;ECR;RCV;+;243;161;234
28;2;13;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;After paragraph 43;;;;;0;14;GUE/NGL;RCV;-;148;355;144
29;2;14;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 44;;;;;0;;original text;RCV;+;351;135;152
30;2;15;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Paragraph 45;;;;;0;8;ECR;RCV;-;68;377;198
31;2;16;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;Recital K;;;;;0;5;ECR;RCV;-;124;330;184
32;2;17;17.07.2014;;Youth employment;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0027/2014 ;2014/2713/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN;0;Employment & social affairs;vote: resolution;;;;;1;;0;RCV;+;502;112;22
33;2;1;17.07.2014;;Situation in Iraq;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0059/2014 ;2014/2716/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0059&language=EN;0;Foreign & security policy;After paragraph 1;;;;;0;2;GUE/NGL;RCV;-;144;451;30
34;2;1;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;After paragraph 5;;;;;0;2;Greens/EFA;RCV;-;133;472;30
35;2;2;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;After paragraph 6;;;;;0;7;GUE/NGL;RCV;-;80;505;43
36;2;3;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;Paragraph 7;;;;;0;1;Greens/EFA;RCV;-;275;334;22
37;2;4;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;After paragraph 7;;;;;0;3;Greens/EFA;RCV;-;143;437;46
38;2;5;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;After recital G;;;;;0;5;GUE/NGL;RCV;-;158;439;36
39;2;6;17.07.2014;;Escalation of violence between Israel and Palestine;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0071/2014 ;2014/2723/RSP ;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN;0;Foreign & security policy;vote: resolution;;;;;1;;0;RCV;+;459;113;60
40;3;1;16.09.2014;;EU-Ukraine association agreement, with the exception of the treatment of third country nationals legally employed as workers in the territory of the other party;;;;;***;Leg;Draft legislative resolution;s;Saryusz-Wolski ;A8-0002/2014 ;2013/0151A/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0002&language=EN;Committee on Foreign Affairs;Foreign & security policy;approbation;;;;;1;;0;RCV;+;535;127;35
41;3;1;16.09.2014;;EU-Ukraine association agreement, as regards the treatment of third country nationals legally employed as workers in the territory of the other party;;;;;***;Leg;Draft legislative resolution;s;Moraes ;A8-0009/2014 ;2013/0151B/NLE;http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140916&secondRef=SIT&language=EN;Committee on Civil Liberties, Justice and Home Affairs;Civil liberties, justice & home affairs;approbation;;;;;1;;0;RCV;+;539;123;33
42;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/000 TA 2014 - Technical assistance at the initiative of the Commission;;;;;;Bud;Motion for resolution;q;Ni Riada;A8-0003/2014;2014/2041/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0003&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;550;80;67
43;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/001 EL/Nutriart;;;;;;Bud;Motion for resolution;q;Kyrtsos;A8-0004/2014;2014/2042/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0004&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;624;69;11
44;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund : application EGF/2012/010 RO/MECHEL - Romania;;;;;;Bud;Motion for resolution;q;Mureşan;A8-0008/2014;2014/2043/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0008&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;614;71;16
45;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/003 ES/Aragón food and beverage - Spain;;;;;;Bud;Motion for resolution;q;Jäätteenmäki;A8-0006/2014;2014/2054/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0006&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;597;74;26
46;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/002 NL/Gelderland-Overijssel construction – The Netherlands;;;;;;Bud;Motion for resolution;q;Tang;A8-0005/2014;2014/2055/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0005&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;602;70;30
47;4;1;17.09.2014;;Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/010 ES/Castilla y León - Spain;;;;;;Bud;Motion for resolution;q;González Pons;A8-0007/2014;2014/2062/BUD;http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0007&language=EN;Committee on Budgets;Budget;single vote;;;;;1;;0;RCV;+;618;71;11
48;5;1;18.09.2014;;Situation in Ukraine and state of play of EU-Russia relations;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0118/2014;2014/2841/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN;0;Foreign & security policy;After paragraph 10;;;;;0;10;S&D;RCV;+;481;38;114
49;5;2;18.09.2014;;Situation in Ukraine and state of play of EU-Russia relations;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0118/2014;2014/2841/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN;0;Foreign & security policy;Paragraph 18;;;;;0;11;S&D;RCV;+;463;129;48
50;5;3;18.09.2014;;Situation in Ukraine and state of play of EU-Russia relations;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0118/2014;2014/2841/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN;0;Foreign & security policy;After paragraph 34;;;;;0;14;S&D;RCV;+;465;95;82
51;5;4;18.09.2014;;Situation in Ukraine and state of play of EU-Russia relations;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0118/2014;2014/2841/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN;0;Foreign & security policy;After paragraph 34;;;;;0;14;S&D;RCV;+;334;254;41
52;5;5;18.09.2014;;Situation in Ukraine and state of play of EU-Russia relations;;;;;;Non;Joint Motions for a resolution;s;0;RC-B8-0118/2014;2014/2841/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN;0;Foreign & security policy;Recital K;;;;;0;8;S&D;RCV;+;470;137;39
53;5;1;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 1;;;;;0;;original text;RCV;-;77;481;76
54;5;2;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 3;;;;;0;;original text;RCV;-;62;494;57
55;5;3;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 4;;;;;0;;original text;RCV;-;71;477;73
56;5;4;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 5;;;;;0;;original text;RCV;-;81;486;58
57;5;5;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 8;;;;;0;;original text;RCV;-;68;506;65
58;5;6;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point d;;;;;0;;original text;RCV;-;61;520;56
59;5;7;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point e;;;;;0;;original text;RCV;-;64;512;52
60;5;8;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point f;;;;;0;;original text;RCV;-;65;510;58
61;5;9;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point i;;;;;0;;original text;RCV;-;116;455;59
62;5;10;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point k;;;;;0;;original text;RCV;-;63;503;61
63;5;11;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Paragraph 10 point m ;;;;;0;;original text;RCV;-;63;506;57
64;5;12;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Recital E;;;;;0;;original text;RCV;-;67;497;69
65;5;13;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Recital F;;;;;0;;original text;RCV;-;66;465;98
66;5;14;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Recital G;;;;;0;;original text;RCV;-;76;462;98
67;5;15;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;Recital I ;;;;;0;;original text;RCV;-;76;452;104
68;5;16;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group;;;;;;Non;Motion for resolution;s;0;B8-0112/2014;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN;0;Foreign & security policy;vote: resolution;;;;;1;;0;RCV;-;55;512;71
69;5;1;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 2;;;;;0;5;GUE/NGL;RCV;-;116;467;57
70;5;2;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 4;;;;;0;7;GUE/NGL;RCV;-;86;471;81
71;5;3;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 6;;;;;0;8;GUE/NGL;RCV;-;115;484;37
72;5;4;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 9;;;;;0;10;GUE/NGL;RCV;-;136;467;28
73;5;5;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 9;;;;;0;11;GUE/NGL;RCV;-;88;490;54
74;5;6;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 9;;;;;0;12;GUE/NGL;RCV;-;108;480;44
75;5;7;18.09.2014;;Israel-Palestine after the Gaza war and the role of the EU;;;;;;Non;Joint motion for resolution;s;0;B8-0117/2014 ;2014/2845/RSP;http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN;0;Foreign & security policy;After paragraph 10;;;;;0;13;GUE/NGL;RCV;-;105;494;42
